Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
Velocity 2X,2014.0,FuturLab,Action;General;Shooter;Scrolling;Shoot-'Em-Up;Vertical,PlayStation4,86.0,6.9,not specified
Killer Instinct Season 3,2016.0,IronGalaxyStudios,Action;Fighting;2D,XboxOne,86.0,6.6,not specified
Pillars of Eternity: Complete Edition,2017.0,"ObsidianEntertainment,ParadoxArctic",Role-Playing;Western-Style,XboxOne,86.0,7.7,not specified
Shovel Knight,2015.0,YachtClubGames,Action;Platformer;2D,XboxOne,86.0,7.7,not specified
Stardew Valley,2016.0,"SickheadGames,LLC,EricBarone",Role-Playing;General,PlayStation4,86.0,7.8,No Online Multiplayer
Rise of the Tomb Raider,2016.0,"CrystalDynamics,NixxesSoftware",Action Adventure;General;Linear,PC,86.0,7.9,No Online Multiplayer
NBA 2K14,2013.0,VisualConcepts,Sim;Sports;Traditional;Team;Basketball;Sim,XboxOne,86.0,5.7,Up to 10 
Total War: WARHAMMER,2016.0,CreativeAssembly,Strategy;Turn-Based;General,PC,86.0,7.3,not specified
Saints Row IV,2013.0,VolitionInc.,Action Adventure;Modern;Modern;Open-World,PC,86.0,7.4,not specified
Need for Speed: Most Wanted U,2013.0,CriterionGames,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,WiiU,86.0,7.7,not specified
DmC: Devil May Cry Definitive Edition,2015.0,"NinjaTheory,QLOC",Fantasy;Action Adventure;General;Linear,XboxOne,86.0,7.5,not specified
Final Fantasy X / X-2 HD Remaster,2014.0,Virtuos,Miscellaneous;Compilation,PlayStationVita,86.0,8.6,No Online Multiplayer
Black Mesa,2012.0,BlackMesaModificationTeam,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,86.0,8.9,Online Multiplayer
FIFA Soccer 13,2012.0,ElectronicArts,Sports;Traditional;Team;Soccer;Sim;Sim,PC,86.0,6.6,not specified
Sky Force Reloaded,2017.0,InfiniteDreamsInc.,Action;Shooter;Shoot-'Em-Up;Vertical,XboxOne,86.0,6.5,not specified
NBA 2K16,2015.0,VisualConcepts,Action;General;Sports;Team;Basketball;Sim,XboxOne,86.0,6.1,Up to 10 
Thimbleweed Park,2017.0,RonGilbertandGaryWinnick,Adventure;Point-and-Click,PlayStation4,86.0,7.1,not specified
Titanfall,2014.0,RespawnEntertainment,Shooter;Sci-Fi;Miscellaneous;General;Action;Shooter;First-Person;Sci-Fi;Arcade,XboxOne,86.0,6.7,Up to 12 
The Binding of Isaac: Rebirth,2014.0,Nicalis,Horror;Horror;Action;Action Adventure;Shooter;Survival;Shoot-'Em-Up;Top-Down,PC,86.0,8.3,No Online Multiplayer
Tribes: Ascend,2012.0,Hi-RezStudios,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,86.0,7.8,not specified
Titanfall,2014.0,RespawnEntertainment,Shooter;Sci-Fi;Miscellaneous;General;Action;Shooter;First-Person;Sci-Fi;Arcade,PC,86.0,6.2,not specified
Rayman Origins,2012.0,UBlartMontpellier,Action;Platformer;Platformer;2D;2D,PC,86.0,8.4,No Online Multiplayer
Gears of War 4,2016.0,TheCoalition,Action;Shooter;Third-Person;Arcade,PC,86.0,6.7,not specified
Guilty Gear Xrd -REVELATOR-,2016.0,ArcSystemWorks,Action;Fighting;2D,PlayStation4,86.0,8.2,Up to 64 
Her Story,2015.0,SamBarlow,Adventure;Visual Novel,PC,86.0,6.0,No Online Multiplayer
Diablo III: Ultimate Evil Edition,2014.0,BlizzardEntertainment,Role-Playing;Action RPG,XboxOne,86.0,7.8,Up to 4 
Starcraft II: Heart of the Swarm,2013.0,BlizzardEntertainment,Strategy;Real-Time;Sci-Fi;Sci-Fi;Command,PC,86.0,7.9,not specified
Dishonored 2,2016.0,ArkaneStudios,Action Adventure;General,PC,86.0,6.7,No Online Multiplayer
Resident Evil 7: biohazard,2017.0,Capcom,Action Adventure;Survival,XboxOne,86.0,7.6,not specified
Final Fantasy XII: The Zodiac Age,2017.0,SquareEnix,Role-Playing;Japanese-Style,PlayStation4,86.0,7.5,No Online Multiplayer
Homeworld Remastered Collection,2015.0,GearboxSoftware,Miscellaneous;Compilation,PC,86.0,8.2,not specified
Wolfenstein II: The New Colossus,2017.0,MachineGames,Action;Shooter;First-Person;Arcade,PC,86.0,6.7,No Online Multiplayer
Tomb Raider,2013.0,"CrystalDynamics,NixxesSoftware",Action Adventure;Modern;General;Modern;Linear,PC,86.0,8.5,not specified
F1 2016,2016.0,Codemasters,Racing;Simulation;Automobile,PC,86.0,8.0,not specified
Sonic Mania,2017.0,"SegaSoft,Sega,PagodaWestGames",Action;Platformer;2D,PlayStation4,86.0,8.6,2 
Pony Island,2016.0,DanielMullinsGames,Puzzle;General,PC,86.0,7.4,No Online Multiplayer
Tomb Raider: Definitive Edition,2014.0,"CrystalDynamics,UnitedFrontGames",Modern;Action Adventure;General;Modern;Linear,XboxOne,86.0,7.7,Up to 8 
Tales From Space: Mutant Blobs Attack,2012.0,DrinkBoxStudios,Action;Platformer;Platformer;2D;2D,PlayStationVita,86.0,8.3,not specified
Resident Evil 7: biohazard,2017.0,Capcom,Action Adventure;Survival,PlayStation4,86.0,7.8,No Online Multiplayer
Rise of the Tomb Raider,2015.0,CrystalDynamics,Fantasy;Action Adventure;General;Linear,XboxOne,86.0,8.0,No Online Multiplayer
PlayerUnknown's Battlegrounds,2017.0,"Bluehole,Inc.,PUBGCorporation",Action;Shooter;First-Person;Tactical,PC,86.0,4.5,Up to more than 64 
Forza Horizon 2,2014.0,PlaygroundGames,Driving;Racing;Simulation;GT / Street;Automobile,XboxOne,86.0,8.3,Up to 12 
Observer,2017.0,BlooberTeam,Adventure;3D;First-Person,XboxOne,86.0,7.8,not specified
Robo Recall,2017.0,EpicGames,Action;General,PC,86.0,7.9,not specified
XCOM: Enemy Within,2013.0,FiraxisGames,Sci-Fi;Strategy;Turn-Based;Sci-Fi;General,PC,86.0,8.0,not specified
Final Fantasy XIV: Heavensward,2015.0,SquareEnix,Massively Multiplayer Online;Fantasy;Role-Playing;Massively Multiplayer,PlayStation4,86.0,7.6,not specified
Bayonetta,2014.0,BeeTribe,Action;Action Adventure;Fantasy;Beat-'Em-Up;Linear,WiiU,86.0,8.8,not specified
Final Fantasy XIV Online: A Realm Reborn,2014.0,SquareEnix,Fantasy;Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy,PlayStation4,86.0,6.7,Up to 64 
Titanfall 2,2016.0,RespawnEntertainment,Action;Shooter;First-Person;Arcade,PC,86.0,8.2,not specified
West of Loathing,2017.0,AsymmetricPublications,Role-Playing;General,PC,86.0,8.0,No Online Multiplayer
Dying Light: The Following,2016.0,Techland,Action Adventure;Survival,XboxOne,86.0,8.1,not specified
Destiny: The Taken King,2015.0,Bungie,Action;Shooter;First-Person;Arcade,PlayStation4,86.0,6.2,not specified
Heroes of the Storm,2015.0,BlizzardEntertainment,Action;Strategy;Real-Time;General;MOBA,PC,86.0,6.5,Up to 10 
DiRT 4,2017.0,"Codemasters,DeepSilver",Racing;Simulation;Automobile,XboxOne,86.0,6.7,not specified
Code:Realize - Guardian of Rebirth,2015.0,Otomate,Adventure;Visual Novel,PlayStationVita,86.0,7.9,not specified
Path of Exile,2013.0,GrindingGearGames,Action RPG;Role-Playing;Action RPG,PC,86.0,8.0,Online Multiplayer
Guilty Gear Xrd: Rev 2,2017.0,ArcSystemWorks,Action;Fighting;2D,PlayStation4,86.0,7.9,not specified
OlliOlli2: Welcome to Olliwood,2015.0,roll7,Sports;Alternative;Individual;Skateboarding;Skate / Skateboard,PlayStation4,86.0,6.5,not specified
Forza Motorsport 7,2017.0,Turn10,Racing;Simulation;Automobile,XboxOne,86.0,5.9,Up to 24 
Mortal Kombat X,2015.0,"WarnerBros.InteractiveEntertainment,NetherRealmStudios",Action;Fighting;2D;3D,XboxOne,86.0,7.5,Up to 10 
Gunman Clive HD Collection,2015.0,HorbergProductions,Miscellaneous;Compilation,WiiU,86.0,8.1,not specified
Day of the Tentacle Remastered,2016.0,DoubleFineProductions,Adventure;Point-and-Click,PC,86.0,8.0,No Online Multiplayer
DiRT Rally,2015.0,Codemasters,Racing;Simulation;Automobile,PC,86.0,8.7,not specified
Rocket League,2015.0,Psyonix,Sports;Racing;Team;Soccer;Futuristic;Arcade,PC,86.0,8.2,not specified
The Legend of Zelda: Twilight Princess HD,2016.0,"Tantalus,Tantatus,Nintendo",Action Adventure;General;Open-World,WiiU,86.0,8.5,not specified
Injustice 2,2017.0,QLOC,Action;Fighting;2D,PC,86.0,7.8,Online Multiplayer
Resogun: Heroes,2014.0,Housemarque,Action;Shooter;Scrolling;Shoot-'Em-Up;Horizontal,PlayStation4,86.0,7.3,not specified
The Talos Principle,2014.0,Croteam,Sci-Fi;Adventure;3D;First-Person,PC,85.0,8.5,No Online Multiplayer
Cities: Skylines,2015.0,ColossalOrder,City Building;Modern;Strategy;Management;Government,PC,85.0,8.9,No Online Multiplayer
DiRT Rally,2016.0,Codemasters,Racing;Simulation;Automobile,PlayStation4,85.0,8.0,Up to 8 
Crypt of the NecroDancer,2016.0,BraceYourselfGames,Role-Playing;Action RPG,PlayStation4,85.0,6.7,not specified
OlliOlli2: Welcome to Olliwood,2015.0,roll7,Sports;Alternative;Individual;Skateboarding;Skate / Skateboard,PlayStationVita,85.0,7.0,not specified
Legend of Grimrock II,2014.0,AlmostHuman,Role-Playing;First-Person;Western-Style,PC,85.0,8.1,not specified
Dragon Age: Inquisition,2014.0,BioWare,PC-style RPG;Role-Playing;General;Action RPG;Western-Style,PC,85.0,5.9,Up to 4 
Tales from the Borderlands: A Telltale Game Series,2015.0,TelltaleGames,Adventure;General,PC,85.0,8.5,not specified
Hearthstone: Whispers of the Old Gods,2016.0,BlizzardEntertainment,Strategy;Turn-Based;Card Battle,PC,85.0,5.4,not specified
Firewatch,2016.0,CampoSanto,Adventure;3D;First-Person,XboxOne,85.0,4.3,not specified
Battlefield 4,2013.0,EADICE,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation4,85.0,7.0,Up to 64 
Mass Effect 3: Special Edition,2012.0,StraightRight,Action RPG;Role-Playing;Action RPG,WiiU,85.0,7.6,Up to 4 
BlazBlue: Chrono Phantasma Extend,2016.0,ArcSystemWorks,Action;Fighting;2D,PC,85.0,7.8,not specified
Pillars of Eternity: Complete Edition,2017.0,"ObsidianEntertainment,ParadoxArctic",Role-Playing;Western-Style,PlayStation4,85.0,7.7,No Online Multiplayer
DOOM,2016.0,idSoftware,Sci-Fi;Third-Person;Action;Shooter;First-Person;Arcade,PlayStation4,85.0,8.3,Up to 12 
Paradigm,2017.0,JacobJanerka,Adventure;Point-and-Click,PC,85.0,7.3,not specified
NBA 2K14,2013.0,VisualConcepts,Sports;Traditional;Team;Basketball;Sim;Sim,PlayStation4,85.0,6.5,Up to 10 
Battlerite,2017.0,StunlockStudios,Strategy;Real-Time;MOBA,PC,85.0,7.5,Online Multiplayer
Batman: Arkham Knight,2015.0,RocksteadyStudios,General;Fantasy;Action Adventure;Open-World,XboxOne,85.0,6.7,No Online Multiplayer
Assassin's Creed III,2012.0,UbisoftQuebec,Action Adventure;Historic;Historic;Open-World,WiiU,85.0,7.2,not specified
Life is Strange,2015.0,DONTNODEntertainment,Sci-Fi;Action Adventure;General,PlayStation4,85.0,8.6,No Online Multiplayer
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,2013.0,GaijinGames,Action;Miscellaneous;Rhythm;Music;Music,PC,85.0,8.2,No Online Multiplayer
Hotline Miami,2012.0,Dennaton,Action;Action Adventure;General;General;Linear,PC,85.0,8.6,not specified
Nioh: Bloodshed's End,2017.0,TeamNinja,Role-Playing;Action RPG,PlayStation4,85.0,6.7,not specified
Out of the Park Baseball 13,2012.0,OutOfTheParkDevelopments,Sports;Traditional;Team;Baseball;Sim;Sim,PC,85.0,8.2,not specified
Rocket League,2015.0,"Psyonix,PanicButton",Racing;Futuristic;Sports;Team;Soccer;Arcade,PlayStation4,85.0,8.6,Up to 8 
The Binding of Isaac: Afterbirth,2015.0,Nicalis,Action;Shooter;Shoot-'Em-Up;Top-Down,PC,85.0,8.2,not specified
Hotline Miami,2013.0,"AbstractionGames,Dennaton",Action;Action Adventure;General;General;Linear,PlayStationVita,85.0,8.4,not specified
Chaos Reborn,2015.0,SnapshotGamesInc.,Fantasy;Strategy;Turn-Based;General,PC,85.0,8.3,not specified
Assassin's Creed Origins,2017.0,"Ubisoft,UbisoftMontreal",Action Adventure;Open-World,XboxOne,85.0,7.5,No Online Multiplayer
Final Fantasy IX,2017.0,"SquareSoft,SquareEnix",Role-Playing;Japanese-Style,PlayStation4,85.0,8.3,No Online Multiplayer
Rogue Legacy,2014.0,CellarDoorGames,Action;Platformer;Platformer;2D;2D,PlayStationVita,85.0,7.8,1 Player
Dust: An Elysian Tail,2013.0,HumbleHearts,Role-Playing;Action RPG;Action RPG,PC,85.0,8.5,No Online Multiplayer
South Park: The Stick of Truth,2014.0,ObsidianEntertainment,Role-Playing;General;General,PC,85.0,8.6,No Online Multiplayer
Dragon Age: Inquisition,2014.0,BioWare,General;Role-Playing;General;Action RPG;Western-Style,XboxOne,85.0,7.0,Up to 4 
Dark Souls: Prepare to Die Edition,2012.0,FromSoftware,Role-Playing;Action RPG;Action RPG,PC,85.0,7.6,Online Multiplayer
NBA 2K13,2012.0,VisualConcepts,Sports;Traditional;Team;Basketball;Sim;Sim,WiiU,85.0,7.1,1 Player
Shadow Tactics: Blades of the Shogun,2016.0,MimimiProductions,Strategy;Real-Time;Tactics,PC,85.0,8.5,No Online Multiplayer
SUPERHOT VR,2016.0,SUPERHOT,Action;Shooter;First-Person;Tactical,PC,85.0,6.8,No Online Multiplayer
Pro Evolution Soccer 2017,2016.0,Konami,Sports;Team;Soccer;Sim,PlayStation4,85.0,7.4,Up to 22 
Resogun: Defenders,2015.0,Housemarque,Action;Shooter;Shoot-'Em-Up;Horizontal,PlayStation4,85.0,7.1,not specified
Shovel Knight,2014.0,YachtClubGames,Platformer;2D;Action;Platformer;2D,PC,85.0,8.0,not specified
DmC: Devil May Cry,2013.0,"NinjaTheory,QLOC",Action;General;Action Adventure;Fantasy;General;Fantasy;Linear,PC,85.0,6.8,No Online Multiplayer
Assetto Corsa,2014.0,KunosSimulazioni,Driving;General;GT / Street;Racing;Simulation;Automobile,PC,85.0,8.4,Online Multiplayer
Ys VIII: Lacrimosa of DANA,2017.0,Falcom,Role-Playing;Action RPG,PlayStation4,85.0,8.3,No Online Multiplayer
F1 2016,2016.0,Codemasters,Racing;Simulation;Automobile,XboxOne,85.0,7.8,not specified
Valkyria Chronicles,2014.0,Sega,General;Historic;Strategy;Turn-Based;Tactics,PC,85.0,8.2,No Online Multiplayer
Zenzizenzic,2015.0,RuudKoorevaar,Action;General,PC,85.0,6.1,not specified
Galactic Civilizations III: Crusade,2017.0,Stardock,Strategy;Turn-Based;4X,PC,85.0,6.7,not specified
The Wolf Among Us: Episode 1 - Faith,2013.0,TelltaleGames,Action Adventure;Adventure;Fantasy;General;Fantasy;Point-and-Click,PC,85.0,8.9,No Online Multiplayer
SteamWorld Dig 2,2017.0,Image&Form,Action;Action Adventure;General;Platformer;2D,PC,85.0,8.4,No Online Multiplayer
Sine Mora,2012.0,"DigitalReality,GrasshopperManufacture",Action;Shooter;Shooter;Scrolling;Scrolling;Shoot-'Em-Up;Vertical;Horizontal,PlayStationVita,85.0,7.2,not specified
Mega Man Legacy Collection,2015.0,DigitalEclipse,Miscellaneous;Compilation,PC,85.0,7.5,No Online Multiplayer
The Walking Dead: Episode 3 - Long Road Ahead,2012.0,TelltaleGames,Miscellaneous;Adventure;General;Compilation;Point-and-Click,PC,85.0,8.4,not specified
Thumper,2016.0,"droolGames,Drool",Action;Rhythm;Music,PC,85.0,7.7,No Online Multiplayer
Yakuza 0,2017.0,RyugaGotokuStudios,Action Adventure;Open-World,PlayStation4,85.0,8.9,No Online Multiplayer
MLB The Show 17,2017.0,SonyInteractiveEntertainment,Sports;Team;Baseball;Sim,PlayStation4,85.0,6.9,Online Multiplayer
BattleBlock Theater,2014.0,TheBehemoth,Action;Platformer;2D,PC,85.0,8.0,Online Multiplayer
Destiny 2,2017.0,Bungie,Action;Shooter;First-Person;Arcade,PlayStation4,85.0,4.9,Up to 12 
Halo: The Master Chief Collection,2014.0,343Industries,Miscellaneous;Compilation;Action;Shooter;First-Person;Sci-Fi;Arcade,XboxOne,85.0,7.4,Up to 16 
Assault Android Cactus,2016.0,WitchBeam,General;Scrolling;Action;Shooter;Shoot-'Em-Up;Top-Down,PlayStation4,85.0,6.7,not specified
Darksiders II,2012.0,VigilGames,Modern;Action Adventure;Fantasy;Fantasy;Open-World,WiiU,85.0,8.2,1 Player
Super Mega Baseball,2014.0,MetalheadSoftware,Traditional;Sports;Team;Baseball;Arcade,PlayStation4,85.0,7.3,not specified
Pro Evolution Soccer 2016,2015.0,Konami,Sports;Team;Soccer;Sim,XboxOne,85.0,6.2,not specified
Rogue Legacy,2013.0,CellarDoorGames,Role-Playing;General;Action;Platformer;Platformer;2D;2D,PC,85.0,7.9,1 Player
Rogue Legacy,2014.0,CellarDoorGames,Action;Platformer;Platformer;2D;2D,PlayStation4,85.0,7.7,1 Player
Football Manager 2014,2013.0,SportsInteractive,Sports;Traditional;Team;Soccer;Management;Management,PC,85.0,5.6,not specified
System Shock: Enhanced Edition,2015.0,LookingGlassStudios,Action Adventure;General,PC,85.0,8.5,No Online Multiplayer
Wipeout: Omega Collection,2017.0,SonyInteractiveEntertainment,Racing;Arcade;Futuristic,PlayStation4,85.0,8.7,Up to 8 
Mortal Kombat XL,2016.0,NetherRealmStudios,Action;Fighting;2D,PlayStation4,85.0,7.8,Up to 10 
Sid Meier's Civilization V: Brave New World,2013.0,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,85.0,8.6,not specified
Geometry Wars 3: Dimensions,2014.0,LucidGames,Action;Shooter;Static;Shoot-'Em-Up;Top-Down,PlayStation4,85.0,7.5,Up to 8 
Ratchet & Clank,2016.0,InsomniacGames,Action;Platformer;3D,PlayStation4,85.0,8.6,No Online Multiplayer
MLB The Show 16,2016.0,SCEASanDiegoStudios,Sports;Team;Baseball;Arcade;Sim,PlayStation4,85.0,7.2,not specified
Mortal Kombat,2012.0,NetherRealmStudios,Action;Fighting;Fighting;3D;2D,PlayStationVita,85.0,7.9,not specified
The Last Door: Season 2,2016.0,TheGameKitchen,Adventure;Point-and-Click,PC,85.0,7.1,No Online Multiplayer
Far Cry 4,2014.0,UbisoftMontreal,Action;Shooter;First-Person;Modern;Arcade,PlayStation4,85.0,7.7,Up to 10 
Batman: Arkham City - Armored Edition,2012.0,"RocksteadyStudios,WBGamesMontreal",Action Adventure;Fantasy;Fantasy;Open-World,WiiU,85.0,8.4,1 Player
Chime Sharp,2016.0,"Twistplay,SteCurran",Puzzle;General,PC,85.0,4.8,No Online Multiplayer
Shantae and the Pirate's Curse,2014.0,WayForward,Action;Platformer;2D,WiiU,85.0,8.7,not specified
Trials Evolution: Gold Edition,2013.0,RedLynx,Driving;Racing;Arcade;Motorcycle;Other;Motocross;Motocross,PC,85.0,6.8,not specified
Terraria,2013.0,EngineSoftware,Action;Action Adventure;Platformer;Platformer;Sandbox;2D;2D,PlayStationVita,85.0,8.0,Up to 8 
Tomb Raider: Definitive Edition,2014.0,"CrystalDynamics,NixxesSoftware",Modern;Action Adventure;General;Modern;Linear,PlayStation4,85.0,8.1,Up to 8 
Starcraft Remastered,2017.0,BlizzardEntertainment,Strategy;Real-Time;Command,PC,85.0,7.6,not specified
NBA 2K18,2017.0,2KGames,Sports;Team;Basketball;Sim,XboxOne,85.0,1.6,Up to 10 
Shadow Tactics: Blades of the Shogun,2017.0,MimimiProductions,Strategy;Real-Time;Tactics,PlayStation4,85.0,8.1,not specified
Planescape: Torment - Enhanced Edition,2017.0,Beamdog,Role-Playing;Western-Style,PC,85.0,6.7,No Online Multiplayer
Super Meat Boy,2015.0,TeamMeat,Action;Platformer;2D,PlayStation4,85.0,6.9,not specified
Pyre,2017.0,SupergiantGames,Role-Playing;General,PlayStation4,85.0,8.0,not specified
FIFA 17,2016.0,"EASports,EAVancouver",Sports;Team;Soccer;Sim,PlayStation4,85.0,4.9,Up to 22 
"Papers, Please",2013.0,LucasPope,Adventure;General;General,PC,85.0,8.5,not specified
DOOM,2016.0,idSoftware,Sci-Fi;Action;Shooter;First-Person;Third-Person;Arcade,PC,85.0,8.4,not specified
DiRT 4,2017.0,Codemasters,Racing;Simulation;Automobile,PlayStation4,85.0,7.5,Up to 8 
Gone Home: Console Edition,2016.0,"TheFullbrightCompany,MidnightCity",Adventure;3D;First-Person,PlayStation4,85.0,4.5,not specified
The Walking Dead: Episode 2 - Starved for Help,2012.0,TelltaleGames,Miscellaneous;Adventure;General;Compilation;Point-and-Click,PC,84.0,8.6,not specified
Project CARS 2,2017.0,"BandaiNamcoGames,SlightlyMadStudios",Racing;Simulation;Automobile,XboxOne,84.0,5.6,not specified
Statik,2017.0,TarsierStudios,Adventure;3D;First-Person,PlayStation4,84.0,7.9,not specified
Valkyria Chronicles Remastered,2016.0,Sega,Strategy;Turn-Based;Tactics,PlayStation4,84.0,8.3,not specified
Kingdom Hearts HD I.5 + II.5 Remix,2017.0,SquareEnix,Miscellaneous;Compilation,PlayStation4,84.0,8.6,No Online Multiplayer
Rare Replay,2015.0,"RareLtd.,CodeMysticsInc.",Miscellaneous;Compilation,XboxOne,84.0,8.0,Up to 32 
Middle-earth: Shadow of Mordor,2014.0,MonolithProductions,Fantasy;Action Adventure;Fantasy;Open-World,PC,84.0,7.9,No Online Multiplayer
Middle-earth: Shadow of Mordor,2014.0,MonolithProductions,Fantasy;Action Adventure;Fantasy;Open-World,PlayStation4,84.0,8.1,No Online Multiplayer
Freedom Planet,2015.0,GalaxyTrail,Action;Platformer;2D,WiiU,84.0,8.5,not specified
Pinball FX 2,2012.0,ZenStudios,Action;Miscellaneous;Parlor;Pinball;Pinball,PC,84.0,8.1,1-4 
South Park: The Fractured But Whole,2017.0,UbisoftSanFrancisco,Role-Playing;General,XboxOne,84.0,7.6,No Online Multiplayer
PlanetSide 2,2012.0,SonyOnlineEntertainment,Role-Playing;Sci-Fi;Massively Multiplayer Online;Action;Shooter;Shooter;First-Person;Tactical;Sci-Fi;Sci-Fi;Arcade,PC,84.0,7.0,not specified
Planet Coaster,2016.0,FrontierDevelopments,Strategy;Management;Business / Tycoon,PC,84.0,7.7,No Online Multiplayer
Guilty Gear Xrd -SIGN-,2014.0,ArcSystemWorks,Action;Fighting;2D,PlayStation4,84.0,8.0,not specified
TxK,2014.0,Llamasoft,Action;Shooter;Static;Shoot-'Em-Up;Top-Down,PlayStationVita,84.0,7.2,not specified
FIFA 17,2016.0,"EASports,EAVancouver",Sports;Team;Soccer;Sim,XboxOne,84.0,5.2,not specified
Rakuen,2017.0,LauraShigihara,Adventure;General;General,PC,84.0,8.3,not specified
BioShock: The Collection,2016.0,2KGames,Action;Miscellaneous;Shooter;Compilation;First-Person;Arcade,XboxOne,84.0,8.6,not specified
BlazBlue: Central Fiction,2016.0,ArcSystemWorks,Action;Fighting;2D,PlayStation4,84.0,7.8,Up to 32 
Prey,2017.0,ArkaneStudios,General;Action;Shooter;First-Person;Arcade,XboxOne,84.0,7.8,No Online Multiplayer
Sound Shapes,2012.0,SCEA,Action;Miscellaneous;Rhythm;Music Maker;Music Maker;Music,PlayStationVita,84.0,7.8,not specified
Hearthstone: Goblins Vs. Gnomes,2014.0,BlizzardEntertainment,Miscellaneous;Strategy;Turn-Based;Card Battle,PC,84.0,6.2,not specified
Salt and Sanctuary,2016.0,SkaStudios,Action;Platformer;2D,PlayStation4,84.0,8.2,No Online Multiplayer
Tales From The Borderlands: Episode 1 - Zer0 Sum,2014.0,TelltaleGames,Miscellaneous;General;Adventure;General,PC,84.0,8.4,not specified
Steins;Gate 0,2016.0,5pb,Adventure;Visual Novel,PlayStationVita,84.0,8.8,not specified
Gears of War 4,2016.0,TheCoalition,Sci-Fi;Action;Shooter;Third-Person;Arcade,XboxOne,84.0,6.9,Up to 10 
Halo 5: Guardians,2015.0,343Industries,Shooter;Sci-Fi;Sci-Fi;Action;Shooter;First-Person;Arcade,XboxOne,84.0,6.5,Up to 24 
Darkest Dungeon,2016.0,RedHookStudios,Role-Playing;General,PC,84.0,7.8,No Online Multiplayer
F1 2017,2017.0,Codemasters,Racing;Simulation;Automobile,XboxOne,84.0,6.9,not specified
Day of the Tentacle Remastered,2016.0,DoubleFineProductions,Adventure;Point-and-Click,PlayStation4,84.0,7.3,not specified
ZEN Pinball 2: South Park: Super-Sweet Pinball,2014.0,ZenStudios,Action;Miscellaneous;Parlor;Pinball,PlayStation4,84.0,6.0,not specified
Trine 2: Director's Cut,2012.0,"Frozenbyte,Inc.",Action;Platformer;Platformer;2D;2D,WiiU,84.0,8.0,not specified
Gorogoa,2017.0,"JasonRoberts,BuriedSignal",Puzzle;General,PC,84.0,8.4,No Online Multiplayer
Battle Chasers: Nightwar,2017.0,AirshipSyndicateEntertainment,Role-Playing;Action RPG;Japanese-Style,XboxOne,84.0,6.5,No Online Multiplayer
80 Days (2015),2015.0,"inkle,CapeGuy",Adventure;Visual Novel,PC,84.0,6.9,No Online Multiplayer
Hearthstone: The Grand Tournament,2015.0,BlizzardEntertainment,Strategy;Turn-Based;Card Battle,PC,84.0,4.1,not specified
Metro Redux,2014.0,4AGames,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,PC,84.0,8.1,not specified
Grim Fandango Remastered,2015.0,DoubleFineProductions,Adventure;General;3D;Third-Person;Fantasy,PlayStationVita,84.0,7.2,not specified
Deus Ex: Mankind Divided,2016.0,EidosMontreal,Action Adventure;General,PlayStation4,84.0,7.6,No Online Multiplayer
Frozen Synapse Prime,2014.0,DoubleEleven,General;Strategy;Turn-Based;Sci-Fi;Modern;Tactics,PlayStationVita,84.0,7.2,not specified
Thumper,2016.0,"droolGames,Drool",Action;Rhythm;Music,PlayStation4,84.0,7.2,not specified
Axiom Verge,2015.0,TomHapp,Sci-Fi;Action Adventure;General,PlayStation4,84.0,7.9,No Online Multiplayer
Dishonored: Death of the Outsider,2017.0,ArkaneStudios,Action Adventure;General,XboxOne,84.0,7.1,not specified
Enter The Gungeon,2017.0,DodgeRoll,Action;General,XboxOne,84.0,7.9,not specified
The Banner Saga 2,2016.0,"StoicJesterStudios,Stoic",Strategy;Turn-Based;Tactics,XboxOne,84.0,8.0,not specified
Europa Universalis IV: Wealth of Nations,2014.0,ParadoxDevelopmentStudio,Strategy;Real-Time;General;Historic,PC,84.0,8.8,not specified
Mass Effect 3: Citadel,2013.0,BioWare,Role-Playing;Action RPG;Action RPG,PC,84.0,8.0,not specified
Nex Machina: Death Machine,2017.0,Housemarque,Action;Shooter;Shoot-'Em-Up;Top-Down,PC,84.0,6.7,not specified
Polybius,2017.0,Llamasoft,Action;Shooter;Rail,PlayStation4,84.0,7.3,not specified
Uncharted: The Lost Legacy,2017.0,NaughtyDog,Action;General,PlayStation4,84.0,8.1,Up to 10 
Assassin's Creed IV: Black Flag,2013.0,Ubisoft,Action Adventure;Historic;Historic;Open-World,PC,84.0,7.7,not specified
Hyper Light Drifter,2016.0,HeartMachine,Role-Playing;Action RPG,PC,84.0,8.3,not specified
Enter the Gungeon,2016.0,DodgeRoll,Action;General,PC,84.0,7.7,No Online Multiplayer
Detention,2017.0,RedCandleGame,Adventure;General,PlayStation4,84.0,6.6,No Online Multiplayer
Hitman - Episode 2: Sapienza,2016.0,IoInteractive,Action Adventure;General,PC,84.0,5.9,not specified
