Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
Bayonetta,2017.0,"PlatinumGames,NexEntertainment",Action Adventure;Linear,PC,90.0,8.2,No Online Multiplayer
NBA 2K17,2016.0,VisualConcepts,Sports;Team;Basketball;Sim,XboxOne,90.0,5.9,not specified
Mario Kart 8 DLC Pack 2,2015.0,Nintendo,Driving;Kart;Racing;Arcade;Automobile,WiiU,90.0,8.9,not specified
Brothers: A Tale of Two Sons,2013.0,Starbreeze,Action Adventure;Fantasy;Fantasy;Linear,PC,90.0,8.6,No Online Multiplayer
Dota 2,2013.0,ValveSoftware,General;Fantasy;MOBA;Strategy;Real-Time;MOBA,PC,90.0,6.5,Up to 10 
Guild Wars 2,2012.0,ArenaNet,General;Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,90.0,8.1,Massively Multiplayer
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015.0,TelltaleGames,Adventure;General,PlayStation4,90.0,8.0,not specified
The Witcher 3: Wild Hunt - Hearts of Stone,2015.0,CDProjektRedStudio,Role-Playing;Action RPG,PlayStation4,90.0,8.7,not specified
Kentucky Route Zero - Act IV,2016.0,CardboardComputer,Adventure;General,PC,90.0,6.2,not specified
Guacamelee! Super Turbo Championship Edition,2014.0,DrinkBoxStudios,Action;Platformer;2D,WiiU,90.0,7.6,not specified
The Witcher 3: Wild Hunt - Hearts of Stone,2015.0,CDProjektRedStudio,Role-Playing;Action RPG,PC,89.0,9.0,not specified
Skylanders Swap Force,2013.0,VicariousVisions,Action;Platformer;Platformer;3D;3D,WiiU,89.0,6.1,not specified
The Walking Dead: A Telltale Games Series,2012.0,TelltaleGames,Compilation;Miscellaneous;Adventure;Compilation;Point-and-Click,PC,89.0,8.7,No Online Multiplayer
Dark Souls III,2016.0,FromSoftware,Role-Playing;Action RPG,PC,89.0,8.5,Up to 6 
Pillars of Eternity,2015.0,ObsidianEntertainment,PC-style RPG;Third-Person;PC-style RPG;Role-Playing;Western-Style,PC,89.0,8.3,No Online Multiplayer
Rez Infinite,2016.0,"QEntertainment,MonstarsInc.,EnhanceGames",Action;Shooter;Rail,PlayStation4,89.0,7.6,not specified
Rocksmith 2014 Edition,2013.0,Ubisoft,Action;Miscellaneous;Rhythm;Music;Music,PC,89.0,7.9,No Online Multiplayer
Axiom Verge,2016.0,TomHapp,Action Adventure;General,WiiU,89.0,8.6,not specified
Titanfall 2,2016.0,RespawnEntertainment,Action;Shooter;First-Person;Arcade,PlayStation4,89.0,8.4,Up to 16 
F1 2017,2017.0,Codemasters,Racing;Simulation;Automobile,PC,89.0,7.5,not specified
Dark Souls III,2016.0,FromSoftware,Role-Playing;Action RPG,PlayStation4,89.0,8.9,Up to 6 
Dark Souls II: Scholar of the First Sin,2015.0,FromSoftware,Role-Playing;Action RPG,XboxOne,89.0,7.7,Up to 6 
The Walking Dead: Episode 5 - No Time Left,2012.0,TelltaleGames,Miscellaneous;Adventure;General;Compilation;Point-and-Click,PC,89.0,8.9,not specified
Borderlands 2,2012.0,GearboxSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,89.0,8.2,Up to 4 
Out of the Park Baseball 15,2014.0,not specified,Sports;Traditional;Team;Baseball;Sim,PC,89.0,7.1,not specified
Final Fantasy XIV: Stormblood,2017.0,SquareEnix,Role-Playing;Massively Multiplayer,PlayStation4,89.0,7.7,not specified
Stardew Valley,2016.0,"SickheadGames,LLC,EricBarone",Role-Playing;General,XboxOne,89.0,7.7,No Online Multiplayer
Bastion,2015.0,SupergiantGames,Role-Playing;Action RPG,PlayStation4,89.0,7.8,not specified
Lone Echo,2017.0,ReadyatDawn,Action Adventure;General,PC,89.0,7.6,not specified
XCOM: Enemy Unknown,2012.0,FiraxisGames,Strategy;Turn-Based;General;Sci-Fi;Sci-Fi;General,PC,89.0,8.2,No Online Multiplayer
Mass Effect 3,2012.0,BioWare,Role-Playing;Action RPG;Action RPG,PC,89.0,5.7,Up to 4 
Rez Infinite,2017.0,UGA,Action;Shooter;Rail,PC,89.0,7.1,No Online Multiplayer
Dragon Age: Inquisition,2014.0,BioWare,General;Role-Playing;General;Action RPG;Western-Style,PlayStation4,89.0,7.4,Up to 4 
Battlefield 1,2016.0,EADICE,Action;General;Shooter;First-Person;Tactical,PlayStation4,89.0,8.0,Up to 64 
Destiny: The Taken King,2015.0,"BungieSoftware,Bungie",Action;Shooter;First-Person;Arcade,XboxOne,89.0,5.2,not specified
Horizon Zero Dawn,2017.0,Guerrilla,Role-Playing;Action RPG,PlayStation4,89.0,8.3,No Online Multiplayer
Injustice 2,2017.0,NetherRealmStudios,Action;Fighting;2D,XboxOne,89.0,8.3,2 
Minecraft: PlayStation 4 Edition,2014.0,"4JStudios,MojangAB",Action Adventure;Adventure;3D;Sandbox;First-Person;Fantasy;Fantasy,PlayStation4,89.0,6.5,Up to 8 
