Title,Year,Platform,Metascore,Avg_Userscore
Final Fantasy X / X-2 HD Remaster,2015.0,PlayStation4,84.0,8.3
Ultimate General: Gettysburg,2014.0,PC,84.0,7.9
Trine 2: Complete Story,2013.0,PlayStation4,84.0,7.7
Final Fantasy XV,2016.0,XboxOne,83.0,7.0
DmC: Devil May Cry Definitive Edition,2015.0,PlayStation4,83.0,7.4
Pro Evolution Soccer 2018,2017.0,PlayStation4,83.0,7.2
Grim Dawn,2016.0,PC,83.0,8.4
Gunpoint,2013.0,PC,83.0,8.4
Detention,2017.0,PC,83.0,7.8
Hakuoki: Kyoto Winds,2017.0,PlayStationVita,83.0,7.3
SMITE,2014.0,PC,83.0,8.2
FIFA 18,2017.0,XboxOne,83.0,3.1
Final Fantasy X / X-2 HD Remaster,2016.0,PC,83.0,8.6
Guild Wars 2: Path of Fire,2017.0,PC,83.0,7.9
Sonic Mania,2017.0,XboxOne,83.0,8.2
Hellblade: Senua's Sacrifice,2017.0,PC,83.0,8.3
Assassin's Creed IV: Black Flag,2013.0,PlayStation4,83.0,7.9
Life is Strange,2015.0,PC,83.0,8.7
Steins;Gate,2015.0,PlayStationVita,83.0,8.8
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,2013.0,PlayStationVita,83.0,7.2
Darkest Dungeon,2016.0,PlayStation4,83.0,7.5
Deus Ex: Mankind Divided,2016.0,PC,83.0,6.6
Bleed 2,2017.0,PC,83.0,7.3
Resident Evil HD Remaster,2015.0,PlayStation4,83.0,8.3
Devil Daggers,2016.0,PC,83.0,7.1
Puyo Puyo Tetris,2017.0,PlayStation4,83.0,7.5
The Blackwell Epiphany,2014.0,PC,83.0,7.7
Tekken Tag Tournament 2: Wii U Edition,2012.0,WiiU,83.0,8.0
Call of Duty: Modern Warfare Remastered,2016.0,PlayStation4,83.0,6.9
ZEN Pinball 2: Portal Pinball,2015.0,PlayStation4,83.0,4.9
Star Wars Pinball,2013.0,WiiU,83.0,7.2
Project CARS,2015.0,PC,83.0,7.1
Dragon Quest Builders,2016.0,PlayStation4,83.0,8.1
Transistor,2014.0,PlayStation4,83.0,8.2
Lumines: Electronic Symphony,2012.0,PlayStationVita,83.0,7.9
Destiny 2,2017.0,PC,83.0,3.5
Final Fantasy XIV Online: A Realm Reborn,2013.0,PC,83.0,6.8
Card Hunter (2013),2013.0,PC,83.0,7.9
Madden NFL 17,2016.0,XboxOne,83.0,5.6
This War of Mine,2014.0,PC,83.0,8.4
SteamWorld Dig,2015.0,XboxOne,83.0,7.8
Oddworld: Stranger's Wrath HD,2012.0,PlayStationVita,83.0,8.2
Orcs Must Die! 2,2012.0,PC,83.0,7.9
Metro Redux,2014.0,PlayStation4,83.0,8.1
Hitman,2016.0,PC,83.0,7.3
The Swapper,2014.0,PlayStation4,83.0,7.6
LEGO Marvel Super Heroes,2013.0,PlayStation4,83.0,7.7
Metal Gear Rising: Revengeance,2014.0,PC,83.0,7.9
Starseed Pilgrim,2013.0,PC,83.0,6.1
Alan Wake,2012.0,PC,83.0,8.0
Monaco: What's Yours Is Mine,2013.0,PC,83.0,7.7
Deus Ex: Mankind Divided,2016.0,XboxOne,83.0,7.3
Castle Crashers Remastered,2015.0,XboxOne,83.0,7.3
Transistor,2014.0,PC,83.0,8.3
Mutant Mudds: Super Challenge,2016.0,WiiU,83.0,7.2
Child of Light,2014.0,PlayStationVita,83.0,7.9
Zero Escape: Zero Time Dilemma,2016.0,PlayStationVita,83.0,8.3
Call of Duty: Advanced Warfare,2014.0,PlayStation4,83.0,5.7
The Sexy Brutale,2017.0,PC,83.0,8.1
MLB 14: The Show,2014.0,PlayStation4,83.0,7.6
Helldivers,2015.0,PC,83.0,7.0
Project CARS,2015.0,PlayStation4,83.0,6.6
Mortal Kombat X,2015.0,PlayStation4,83.0,7.8
Valdis Story: Abyssal City,2013.0,PC,83.0,8.0
NBA 2K15,2014.0,PlayStation4,83.0,6.9
Danganronpa 1-2 Reload,2017.0,PlayStation4,83.0,8.3
Madden NFL 16,2015.0,PlayStation4,83.0,5.9
Freedom Planet,2014.0,PC,83.0,8.2
Gravity Rush,2012.0,PlayStationVita,83.0,8.6
Horizon Zero Dawn: The Frozen Wilds,2017.0,PlayStation4,83.0,8.1
SUPERHOT,2017.0,PlayStation4,83.0,7.1
SUPERHOT,2016.0,XboxOne,83.0,7.9
CastleStorm,2013.0,WiiU,83.0,7.8
Path of Exile: The Fall of Oriath,2017.0,XboxOne,83.0,7.5
The Legend of Heroes: Trails in the Sky the 3rd,2017.0,PC,83.0,7.7
SteamWorld Heist,2016.0,PlayStation4,83.0,7.4
ABZU,2016.0,PC,83.0,6.9
Little Nightmares,2017.0,XboxOne,83.0,7.8
Luftrausers,2014.0,PlayStationVita,83.0,7.3
Tales From The Borderlands: Episode 3 - Catch A Ride,2015.0,PlayStation4,83.0,7.6
Life is Strange: Episode 5 - Polarized,2015.0,PC,83.0,8.4
SteamWorld Dig,2014.0,WiiU,83.0,8.0
BROFORCE,2014.0,PC,83.0,8.0
Superbrothers: Sword & Sworcery EP,2012.0,PC,83.0,6.4
Steel Division: Normandy 44,2017.0,PC,83.0,7.6
Hearts of Iron IV,2016.0,PC,83.0,7.1
Duskers,2016.0,PC,83.0,7.1
Severed,2016.0,WiiU,83.0,8.4
Door Kickers,2014.0,PC,83.0,7.9
Counter-Strike: Global Offensive,2012.0,PC,83.0,7.6
Resident Evil 7: biohazard,2017.0,PC,83.0,7.7
OlliOlli2: XL Edition,2016.0,XboxOne,83.0,5.8
Donkey Kong Country: Tropical Freeze,2014.0,WiiU,83.0,8.9
Batman: The Telltale Series - Episode 2: Children of Arkham,2016.0,XboxOne,83.0,6.6
Outland,2014.0,PC,83.0,7.3
ZEN Pinball 2: The Walking Dead,2014.0,PlayStation4,83.0,6.0
BlazBlue: Continuum Shift Extend,2012.0,PlayStationVita,83.0,7.5
"Invisible, Inc.",2015.0,PC,82.0,8.0
SOMA,2017.0,XboxOne,82.0,8.1
Dark Souls II: Crown of the Ivory King,2014.0,PC,82.0,8.1
Gears of War: Ultimate Edition,2015.0,XboxOne,82.0,7.6
Ys: Memories of Celceta,2013.0,PlayStationVita,82.0,8.7
Super Hydorah,2017.0,XboxOne,82.0,7.5
Watch Dogs 2,2016.0,PlayStation4,82.0,7.8
Hand of Fate 2,2017.0,PlayStation4,82.0,7.7
FIFA 16,2015.0,PlayStation4,82.0,4.3
Nuclear Throne,2015.0,PlayStation4,82.0,6.3
Stealth Inc 2: A Game of Clones,2015.0,XboxOne,82.0,6.9
Dark Souls III: The Ringed City,2017.0,PC,82.0,8.3
The Sexy Brutale,2017.0,XboxOne,82.0,7.5
Child of Light,2014.0,XboxOne,82.0,7.6
L.A. Noire: The VR Case Files,2017.0,PC,82.0,6.6
The Banner Saga 2,2016.0,PC,82.0,8.3
LEGO Marvel Super Heroes,2013.0,WiiU,82.0,7.9
Kentucky Route Zero - Act II,2013.0,PC,82.0,8.1
Project CARS 2,2017.0,PlayStation4,82.0,6.1
Football Manager 2018,2017.0,PC,82.0,5.5
Tom Clancy's Splinter Cell: Blacklist,2013.0,PC,82.0,7.5
SUPERHOT,2016.0,PC,82.0,7.5
The Pinball Arcade,2013.0,PlayStation4,82.0,6.8
Monster Hunter 3 Ultimate,2013.0,WiiU,82.0,8.2
Borderlands: The Handsome Collection,2015.0,PlayStation4,82.0,7.9
Forza Horizon 2: Storm Island,2014.0,XboxOne,82.0,7.4
Super Stardust Delta,2012.0,PlayStationVita,82.0,8.0
Madden NFL 18,2017.0,PlayStation4,82.0,3.7
Geometry Wars 3: Dimensions,2014.0,XboxOne,82.0,7.7
Stealth Inc 2: A Game of Clones,2014.0,WiiU,82.0,8.3
RiME,2017.0,XboxOne,82.0,6.9
Tekken 7,2017.0,PC,82.0,6.7
Runbow,2015.0,WiiU,82.0,7.8
Madden NFL 17,2016.0,PlayStation4,82.0,4.4
Sokobond,2013.0,PC,82.0,7.7
Quell Memento,2013.0,PlayStationVita,82.0,7.6
F1 2016,2016.0,PlayStation4,82.0,8.2
Lovers in a Dangerous Spacetime,2015.0,XboxOne,82.0,7.4
N++,2015.0,PlayStation4,82.0,6.5
Pro Evolution Soccer 2015,2014.0,PlayStation4,82.0,7.1
Antichamber,2013.0,PC,82.0,8.3
Dark Souls III: The Ringed City,2017.0,PlayStation4,82.0,8.2
Danganronpa: Trigger Happy Havoc,2016.0,PC,82.0,8.5
Hearthstone: Blackrock Mountain,2015.0,PC,82.0,6.0
I Expect You To Die,2016.0,PlayStation4,82.0,7.8
Hacknet,2015.0,PC,82.0,7.9
The Walking Dead: A Telltale Games Series - The Complete First Season,2013.0,PlayStationVita,82.0,8.6
FIFA 15,2014.0,XboxOne,82.0,5.4
Sins of a Solar Empire: Rebellion,2012.0,PC,82.0,7.9
The Talos Principle: Road To Gehenna,2015.0,PC,82.0,7.7
Stellaris - Utopia,2017.0,PC,82.0,8.3
Tales From The Borderlands: Episode 1 - Zer0 Sum,2014.0,XboxOne,82.0,8.2
King's Quest Chapter 1: A Knight to Remember,2015.0,PC,82.0,7.3
Galak-Z: The Dimensional,2015.0,PlayStation4,82.0,7.2
Sportsfriends,2014.0,PlayStation4,82.0,6.3
Hand of Fate 2,2017.0,XboxOne,82.0,7.1
Pyre,2017.0,PC,82.0,8.0
10 Second Ninja X,2016.0,XboxOne,82.0,4.5
Endless Legend,2014.0,PC,82.0,7.9
The Evil Within 2,2017.0,XboxOne,82.0,9.2
Kero Blaster,2014.0,PC,82.0,7.2
Skullgirls: 2nd Encore,2015.0,PlayStation4,82.0,7.5
"Invisible, Inc. Console Edition",2016.0,PlayStation4,82.0,7.0
The Elder Scrolls V: Skyrim Special Edition,2016.0,XboxOne,82.0,7.2
VIDEOBALL,2016.0,PC,82.0,7.3
The Wolf Among Us: Episode 3 - A Crooked Mile,2014.0,PC,82.0,8.6
Resident Evil 4,2016.0,PlayStation4,82.0,8.1
XCOM: Enemy Unknown Plus,2016.0,PlayStationVita,82.0,8.0
Legend of Grimrock,2012.0,PC,82.0,8.1
Dishonored: Death of the Outsider,2017.0,PlayStation4,82.0,7.1
Pro Evolution Soccer 2018,2017.0,XboxOne,82.0,6.5
Lovers in a Dangerous Spacetime,2016.0,PlayStation4,82.0,6.9
Borderlands 2: Mr. Torgue's Campaign of Carnage,2012.0,PC,82.0,7.4
Crusader Kings II,2012.0,PC,82.0,8.7
Art Academy: Home Studio,2015.0,WiiU,82.0,7.9
Art of Balance,2014.0,WiiU,82.0,8.5
NBA 2K15,2014.0,XboxOne,82.0,6.3
Child of Light,2014.0,PlayStation4,82.0,8.0
The Last Guardian,2016.0,PlayStation4,82.0,8.2
Technobabylon,2015.0,PC,82.0,7.7
World of Warcraft: Mists of Pandaria,2012.0,PC,82.0,4.9
FIFA 15,2014.0,PC,82.0,4.3
Forza Motorsport 7,2017.0,PC,82.0,4.1
ETHER One,2014.0,PC,82.0,6.9
The Vanishing of Ethan Carter,2014.0,PC,82.0,8.1
Duelyst,2016.0,PC,82.0,7.7
The Walking Dead: Episode 1 - A New Day,2012.0,PC,82.0,8.4
Soul Sacrifice Delta,2014.0,PlayStationVita,82.0,8.5
Rock Band Rivals,2016.0,XboxOne,82.0,6.6
Resident Evil HD Remaster,2015.0,XboxOne,82.0,8.0
Far Cry 4,2014.0,XboxOne,82.0,7.6
Age of Wonders III - Golden Realms,2014.0,PC,82.0,8.6
Prey,2017.0,PC,82.0,8.0
Dark Souls II: Crown of the Sunken King,2014.0,PC,82.0,7.4
Enter the Gungeon,2016.0,PlayStation4,82.0,7.5
Resident Evil HD Remaster,2015.0,PC,82.0,8.3
Disgaea 4: A Promise Revisited,2014.0,PlayStationVita,82.0,8.1
Year Walk,2015.0,WiiU,82.0,7.8
SteamWorld Dig,2014.0,PlayStation4,82.0,7.3
Tekken 7,2017.0,PlayStation4,82.0,6.8
Metro: Last Light,2013.0,PC,82.0,8.6
Rising Storm,2013.0,PC,82.0,8.5
Lethal League,2014.0,PC,82.0,7.7
Madden NFL 18,2017.0,XboxOne,82.0,4.8
Botanicula,2012.0,PC,82.0,8.3
Darkest Dungeon: The Crimson Court,2017.0,PC,82.0,6.3
She Remembered Caterpillars,2017.0,PC,82.0,5.9
Pro Evolution Soccer 2015,2014.0,PC,82.0,5.7
FIFA 15,2014.0,PlayStation4,82.0,5.6
PixelJunk Shooter Ultimate,2014.0,PlayStation4,82.0,7.2
ZEN Pinball 2,2013.0,PlayStation4,82.0,6.9
Bulletstorm: Full Clip Edition,2017.0,XboxOne,82.0,7.1
Severed,2016.0,PlayStationVita,82.0,7.8
OlliOlli2: Welcome to Olliwood,2015.0,PC,82.0,5.4
WildStar,2014.0,PC,82.0,7.5
Broken Age: Act 1,2014.0,PC,82.0,7.8
Starbound,2016.0,PC,81.0,7.2
Nidhogg,2014.0,PC,81.0,6.7
The Elder Scrolls V: Skyrim Special Edition,2016.0,PlayStation4,81.0,6.9
Battlefield 4,2013.0,PC,81.0,6.1
Torment: Tides of Numenera,2017.0,PC,81.0,7.0
Kalimba,2014.0,XboxOne,81.0,7.3
Metrico+,2016.0,PlayStation4,81.0,6.3
Tekken 7,2017.0,XboxOne,81.0,6.2
Madden NFL 15,2014.0,PlayStation4,81.0,6.1
Quadrilateral Cowboy,2016.0,PC,81.0,7.3
Plants vs Zombies: Garden Warfare 2,2016.0,PlayStation4,81.0,7.6
Danganronpa V3: Killing Harmony,2017.0,PlayStation4,81.0,8.0
Shadowrun: Hong Kong,2015.0,PC,81.0,7.8
War Thunder,2013.0,PC,81.0,6.5
Hitman - Episode 6: Hokkaido,2016.0,PlayStation4,81.0,6.7
Splatoon,2015.0,WiiU,81.0,8.7
Sunless Sea,2014.0,PC,81.0,7.6
The Walking Dead: Season Two Episode 3 - In Harm's Way,2014.0,PC,81.0,8.3
Marvel Heroes 2015,2014.0,PC,81.0,8.2
Football Manager 2016,2015.0,PC,81.0,6.9
Tearaway Unfolded,2015.0,PlayStation4,81.0,8.0
Trackmania Turbo,2016.0,PlayStation4,81.0,7.6
Hellblade: Senua's Sacrifice,2017.0,PlayStation4,81.0,8.3
Call of Duty: Black Ops III,2015.0,XboxOne,81.0,4.5
Darksiders II,2012.0,PC,81.0,7.9
Wolfenstein: The New Order,2014.0,PC,81.0,8.2
Downwell,2015.0,PC,81.0,6.5
Lone Survivor,2012.0,PC,81.0,7.3
Deus Ex: Mankind Divided - A Criminal Past,2017.0,PlayStation4,81.0,6.6
Call of Duty: Advanced Warfare,2014.0,XboxOne,81.0,5.5
Rising Storm 2: Vietnam,2017.0,PC,81.0,7.9
Alien: Isolation,2014.0,PC,81.0,8.5
Kentucky Route Zero - Act I,2013.0,PC,81.0,7.5
Call of Duty: Black Ops II,2012.0,WiiU,81.0,6.9
Lone Survivor: The Director's Cut,2013.0,PlayStationVita,81.0,8.0
Life is Strange: Episode 3 - Chaos Theory,2015.0,PlayStation4,81.0,8.2
Life is Strange: Before the Storm - Episode 3: Hell is Empty,2017.0,XboxOne,81.0,8.3
FAST Racing NEO,2015.0,WiiU,81.0,8.6
Gunslugs,2014.0,PlayStationVita,81.0,7.2
Fortnite,2017.0,PC,81.0,3.4
Cities: Skylines - PlayStation 4 Edition,2017.0,PlayStation4,81.0,7.7
Unravel,2016.0,PC,81.0,7.8
Castlevania: Lords of Shadow Ultimate Edition,2013.0,PC,81.0,7.4
The Cat Lady,2012.0,PC,81.0,8.8
Guitar Hero Live,2015.0,XboxOne,81.0,5.1
Skylanders SuperChargers,2015.0,PlayStation4,81.0,3.8
Vessel,2012.0,PC,81.0,7.9
Captain Toad: Treasure Tracker,2014.0,WiiU,81.0,8.6
Life is Strange: Episode 5 - Polarized,2015.0,PlayStation4,81.0,8.3
SteamWorld Heist,2016.0,PC,81.0,8.2
Helldivers,2015.0,PlayStation4,81.0,8.1
Company of Heroes 2: Ardennes Assault,2014.0,PC,81.0,6.3
Tales From The Borderlands: Episode 3 - Catch A Ride,2015.0,PC,81.0,8.4
The Walking Dead: Season Two Episode 2 - A House Divided,2014.0,PC,81.0,8.5
Finding Paradise,2017.0,PC,81.0,8.3
Kingdoms of Amalur: Reckoning,2012.0,PC,81.0,6.6
Brothers: A Tale of Two Sons,2015.0,PlayStation4,81.0,8.2
Broken Age,2015.0,PlayStation4,81.0,7.3
Life is Strange: Episode 4 - Dark Room,2015.0,PlayStation4,81.0,8.4
Sunset Overdrive,2014.0,XboxOne,81.0,7.8
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,2016.0,PC,81.0,7.1
DG2: Defense Grid 2,2014.0,PC,81.0,6.7
Metal Gear Solid HD Collection,2012.0,PlayStationVita,81.0,8.4
Firewatch,2016.0,PC,81.0,6.9
Reigns: Her Majesty,2017.0,PC,81.0,7.8
Children of Zodiarcs,2017.0,PlayStation4,81.0,5.9
Little Nightmares,2017.0,PC,81.0,8.1
Shantae: Half-Genie Hero,2016.0,PlayStation4,81.0,7.6
OneShot,2016.0,PC,81.0,8.6
Watch Dogs 2,2016.0,XboxOne,81.0,7.5
Zombie Night Terror,2016.0,PC,81.0,8.1
Victoria II: Heart of Darkness,2013.0,PC,81.0,8.8
Waveform,2012.0,PC,81.0,7.5
Middle-earth: Shadow of War,2017.0,XboxOne,81.0,3.5
Joe Danger 2: The Movie,2015.0,PlayStationVita,81.0,6.4
Final Fantasy XV,2016.0,PlayStation4,81.0,7.5
Dragon's Dogma: Dark Arisen,2016.0,PC,81.0,8.1
Guild Wars 2: Heart of Thorns,2015.0,PC,81.0,7.3
Far Cry 3: Blood Dragon,2013.0,PC,81.0,8.1
SUPERBEAT: XONiC,2015.0,PlayStationVita,81.0,7.3
Sid Meier's Civilization: Beyond Earth,2014.0,PC,81.0,5.5
Pro Evolution Soccer 2018,2017.0,PC,81.0,7.1
Awesomenauts Assemble!,2016.0,XboxOne,81.0,7.2
Assassin's Creed Origins,2017.0,PlayStation4,81.0,7.2
Hatsune Miku: Project Diva f,2014.0,PlayStationVita,81.0,7.9
The Bug Butcher,2016.0,PC,81.0,7.8
Project CARS,2015.0,XboxOne,81.0,5.8
Wasteland 2,2014.0,PC,81.0,7.3
Tales From The Borderlands: Episode 2 - Atlas Mugged,2015.0,PlayStation4,81.0,7.5
Star Wars Pinball: The Force Awakens,2016.0,PlayStation4,81.0,4.8
The Age of Decadence,2015.0,PC,81.0,8.1
Galactic Civilizations III,2014.0,PC,81.0,6.6
Stories Untold,2017.0,PC,81.0,6.8
Slime Rancher,2017.0,PC,81.0,7.8
Nelly Cootalot: The Fowl Fleet,2016.0,PC,81.0,7.9
Order of Battle: Pacific,2015.0,PC,81.0,5.6
Valiant Hearts: The Great War,2014.0,XboxOne,81.0,8.0
Maldita Castilla EX: Cursed Castilla,2016.0,XboxOne,81.0,7.7
Overcooked!,2016.0,PC,81.0,8.1
Danganronpa 2: Goodbye Despair,2014.0,PlayStationVita,81.0,8.8
Motorsport Manager,2016.0,PC,81.0,8.5
The Vanishing of Ethan Carter,2015.0,PlayStation4,81.0,7.6
South Park: The Fractured But Whole,2017.0,PC,81.0,6.6
Sleeping Dogs,2012.0,PC,81.0,8.2
FIFA 18,2017.0,PC,81.0,2.7
Cities: Skylines - Xbox One Edition,2017.0,XboxOne,81.0,6.0
Sine Mora EX,2017.0,PlayStation4,81.0,7.6
Mortal Kombat Komplete Edition,2013.0,PC,81.0,8.7
Shadowrun: Dragonfall,2014.0,PC,81.0,8.2
Steins;Gate 0,2016.0,PlayStation4,81.0,8.3
World of Warships,2015.0,PC,81.0,6.1
Hatsune Miku: Project Diva F 2nd,2014.0,PlayStationVita,81.0,8.4
Wargame: European Escalation,2012.0,PC,81.0,8.2
Dishonored: Death of the Outsider,2017.0,PC,81.0,7.1
Redout,2017.0,PlayStation4,81.0,7.6
Sniper Elite 4,2017.0,XboxOne,81.0,7.3
Call of Duty: Black Ops III,2015.0,PlayStation4,81.0,4.8
Maldita Castilla EX: Cursed Castilla,2016.0,PC,81.0,7.8
Atlas Reactor,2016.0,PC,81.0,7.8
Antihero,2017.0,PC,81.0,6.6
Halo Wars: Definitive Edition,2017.0,XboxOne,81.0,7.0
Redout,2016.0,PC,81.0,8.0
God of War III Remastered,2015.0,PlayStation4,81.0,8.1
Stick it to the Man!,2014.0,WiiU,81.0,7.5
Affordable Space Adventures,2015.0,WiiU,81.0,8.2
Darksiders: Warmastered Edition,2016.0,PlayStation4,81.0,7.6
FIFA 16,2015.0,PC,81.0,4.4
Europa Universalis IV: Conquest of Paradise,2014.0,PC,81.0,7.7
The Book of Unwritten Tales 2,2015.0,PC,80.0,7.6
The Legend of Heroes: Trails of Cold Steel II,2016.0,PlayStationVita,80.0,7.6
Plants vs Zombies: Garden Warfare 2,2016.0,XboxOne,80.0,7.8
Shantae: Half-Genie Hero,2016.0,WiiU,80.0,8.4
Pac-Man 256,2016.0,XboxOne,80.0,6.8
Disgaea 5: Alliance of Vengeance,2015.0,PlayStation4,80.0,8.5
Lovers in a Dangerous Spacetime,2015.0,PC,80.0,7.3
Company of Heroes 2: The Western Front Armies,2014.0,PC,80.0,6.9
Darksiders: Warmastered Edition,2016.0,XboxOne,80.0,7.9
Sid Meier's Civilization V: Gods & Kings,2012.0,PC,80.0,7.7
The Elder Scrolls: Legends,2017.0,PC,80.0,5.6
Watch Dogs,2014.0,PlayStation4,80.0,6.3
LEGO Dimensions,2015.0,XboxOne,80.0,7.0
Endless Space 2,2017.0,PC,80.0,7.7
Leap of Fate,2016.0,PC,80.0,7.5
Metal Gear Solid V: Ground Zeroes,2014.0,PC,80.0,7.6
Trials Fusion,2014.0,PC,80.0,6.8
Tyranny,2016.0,PC,80.0,7.8
Football Manager 2017,2016.0,PC,80.0,5.1
Super Time Force,2014.0,XboxOne,80.0,6.5
King's Quest Chapter 3: Once Upon a Climb,2016.0,XboxOne,80.0,5.7
Life is Strange: Episode 5 - Polarized,2015.0,XboxOne,80.0,8.6
Westerado: Double Barreled,2015.0,PC,80.0,7.6
NBA 2K18,2017.0,PlayStation4,80.0,1.7
Volume,2015.0,PC,80.0,7.3
GRID 2,2013.0,PC,80.0,5.8
The Evil Within 2,2017.0,PC,80.0,8.9
Mighty Switch Force! Hyper Drive Edition,2012.0,WiiU,80.0,7.7
The Banner Saga,2014.0,PC,80.0,8.0
Age of Wonders III - Eternal Lords,2015.0,PC,80.0,8.4
Game of Thrones: Episode Three - The Sword in the Darkness,2015.0,XboxOne,80.0,7.8
Pro Evolution Soccer 2013,2012.0,PC,80.0,6.9
Hand of Fate 2,2017.0,PC,80.0,7.0
Disney Infinity 3.0 Edition,2015.0,PlayStation4,80.0,6.1
BlazBlue: Chrono Phantasma Extend,2015.0,PlayStation4,80.0,7.5
Uncharted: Golden Abyss,2012.0,PlayStationVita,80.0,7.5
Pix the Cat,2014.0,PlayStation4,80.0,6.0
Yakuza Kiwami,2017.0,PlayStation4,80.0,8.6
Flinthook,2017.0,PC,80.0,7.5
Battle Brothers,2017.0,PC,80.0,7.5
Overcooked!,2016.0,XboxOne,80.0,6.7
Dariusburst: Chronicle Saviours,2015.0,PC,80.0,8.4
Dariusburst: Chronicle Saviours,2015.0,PlayStation4,80.0,7.5
Grandia II Anniversary Edition,2015.0,PC,80.0,8.0
Assassin's Creed III,2012.0,PC,80.0,6.3
Outlast,2013.0,PC,80.0,8.3
Dishonored: The Brigmore Witches,2013.0,PC,80.0,8.7
Virginia,2016.0,XboxOne,80.0,6.1
Oxenfree,2016.0,PC,80.0,7.8
Injustice: Gods Among Us - Ultimate Edition,2013.0,PlayStation4,80.0,7.2
Tokyo Mirage Sessions #FE,2016.0,WiiU,80.0,6.3
Trials Fusion,2014.0,XboxOne,80.0,7.1
Elite: Dangerous,2014.0,PC,80.0,6.7
Life is Strange: Episode 3 - Chaos Theory,2015.0,XboxOne,80.0,8.7
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,2016.0,PC,80.0,7.1
Faeria,2017.0,PC,80.0,7.7
Goodbye Deponia,2013.0,PC,80.0,8.0
Game of Thrones: Episode One - Iron From Ice,2014.0,XboxOne,80.0,7.9
Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,XboxOne,80.0,8.3
LEGO Dimensions,2015.0,PlayStation4,80.0,7.1
Borderlands: The Handsome Collection,2015.0,XboxOne,80.0,7.8
Read Only Memories,2015.0,PC,80.0,4.3
The Sly Collection,2014.0,PlayStationVita,80.0,7.8
Darkwood,2017.0,PC,80.0,8.4
Dropsy,2015.0,PC,80.0,7.4
Company of Heroes 2: The British Forces,2015.0,PC,80.0,6.1
Brutal Legend,2013.0,PC,80.0,7.8
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,2016.0,PlayStation4,80.0,7.0
Prison Architect,2016.0,PlayStation4,80.0,7.1
La-Mulana (Remake),2012.0,PC,80.0,7.1
Wonder Boy: The Dragon's Trap,2017.0,XboxOne,80.0,7.9
Dishonored: Definitive Edition,2015.0,PlayStation4,80.0,7.3
MLB 15: The Show,2015.0,PlayStation4,80.0,7.7
Dishonored: The Knife of Dunwall,2013.0,PC,80.0,8.3
Company of Heroes 2,2013.0,PC,80.0,2.1
RiME,2017.0,PlayStation4,80.0,7.7
Natural Selection 2,2012.0,PC,80.0,8.5
Crash Bandicoot N. Sane Trilogy,2017.0,PlayStation4,80.0,8.7
The Legend of Heroes: Trails of Cold Steel,2017.0,PC,80.0,8.5
BioShock: The Collection,2016.0,PC,80.0,6.8
Samorost 3,2016.0,PC,80.0,8.1
Game of Thrones: Episode Six - The Ice Dragon,2015.0,XboxOne,80.0,7.8
The Sims 3: Into the Future,2013.0,PC,80.0,5.4
Borderlands 2: Captain Scarlett and Her Pirate's Booty,2012.0,PC,80.0,7.4
Danganronpa: Trigger Happy Havoc,2014.0,PlayStationVita,80.0,8.2
Tales From The Borderlands: Episode 1 - Zer0 Sum,2014.0,PlayStation4,80.0,7.9
Mega Man Legacy Collection,2015.0,XboxOne,80.0,7.0
Icewind Dale: Enhanced Edition,2014.0,PC,80.0,7.2
Gravity Rush 2,2017.0,PlayStation4,80.0,8.3
Far Cry 4,2014.0,PC,80.0,6.8
Super Time Force Ultra,2014.0,PC,80.0,6.5
Super Mega Baseball: Extra Innings,2015.0,XboxOne,80.0,7.1
Skylanders Giants,2012.0,WiiU,80.0,6.4
Score Rush Extended,2016.0,PlayStation4,80.0,7.5
Need for Speed: Rivals,2013.0,PlayStation4,80.0,6.2
NHL 16,2015.0,XboxOne,80.0,6.1
Hand of Fate,2015.0,XboxOne,80.0,7.3
Ghost 1.0,2016.0,PC,80.0,7.4
Aaero,2017.0,XboxOne,80.0,7.8
Grim Fandango Remastered,2015.0,PlayStation4,80.0,7.7
Tooth and Tail,2017.0,PC,80.0,7.5
Fallen Enchantress: Legendary Heroes,2013.0,PC,80.0,7.7
Dragon's Dogma: Dark Arisen,2017.0,XboxOne,80.0,8.2
Danganronpa V3: Killing Harmony,2017.0,PlayStationVita,80.0,7.8
Star Wars Pinball: Heroes Within,2014.0,PlayStation4,80.0,5.2
The Walking Dead: Episode 4 - Around Every Corner,2012.0,PC,80.0,8.5
Ultimate Marvel vs. Capcom 3,2012.0,PlayStationVita,80.0,7.8
The Sims 4: Cats & Dogs,2017.0,PC,80.0,4.3
Wasteland 2: Director's Cut,2015.0,PlayStation4,80.0,7.6
F1 2012,2012.0,PC,80.0,7.1
Nidhogg 2,2017.0,PC,80.0,6.1
The Turing Test,2016.0,XboxOne,80.0,7.7
LEGO City Undercover,2013.0,WiiU,80.0,8.3
Luftrausers,2014.0,PC,80.0,6.8
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,2013.0,PC,80.0,8.1
Stealth Bastard Deluxe,2012.0,PC,80.0,8.2
