Title,Year,Platform,Metascore,Avg_Userscore
NieR: Automata,2017.0,PlayStation4,88.0,8.8
Dishonored 2,2016.0,XboxOne,88.0,7.2
Rise of the Tomb Raider: 20 Year Celebration,2016.0,PlayStation4,88.0,8.2
Far Cry 3,2012.0,PC,88.0,8.3
Shovel Knight,2014.0,WiiU,88.0,8.4
Rayman Origins,2012.0,PlayStationVita,88.0,8.4
NBA 2K17,2016.0,PlayStation4,88.0,6.4
Torchlight II,2012.0,PC,88.0,8.6
XCOM 2,2016.0,PC,88.0,7.2
Dishonored 2,2016.0,PlayStation4,88.0,7.9
Cuphead,2017.0,PC,88.0,8.3
Divinity: Original Sin Enhanced Edition,2015.0,PlayStation4,88.0,8.0
Minecraft: Xbox One Edition,2014.0,XboxOne,88.0,6.7
Guacamelee! Super Turbo Championship Edition,2014.0,XboxOne,88.0,7.0
Ori and the Blind Forest,2015.0,XboxOne,88.0,8.6
Thirty Flights of Loving,2012.0,PC,88.0,5.0
Hearthstone: Heroes of Warcraft,2014.0,PC,88.0,6.1
The Stanley Parable,2013.0,PC,88.0,8.0
Sid Meier's Civilization VI,2016.0,PC,88.0,7.1
Battlefield 1,2016.0,PC,88.0,7.2
Okami HD,2017.0,XboxOne,88.0,8.3
Starcraft II: Legacy of the Void,2015.0,PC,88.0,8.3
Diablo III,2012.0,PC,88.0,4.1
LittleBigPlanet PS Vita,2012.0,PlayStationVita,88.0,8.6
Guacamelee! Gold Edition,2013.0,PC,88.0,7.3
World of Warcraft: Legion,2016.0,PC,88.0,7.3
Keep Talking and Nobody Explodes,2016.0,PlayStation4,88.0,6.5
Owlboy,2016.0,PC,88.0,7.7
The Talos Principle,2015.0,PlayStation4,88.0,8.3
Night in the Woods,2017.0,PC,88.0,7.8
Ori and the Blind Forest,2015.0,PC,88.0,8.7
Nex Machina: Death Machine,2017.0,PlayStation4,88.0,8.1
Nioh,2017.0,PlayStation4,88.0,8.5
Guacamelee! Super Turbo Championship Edition,2014.0,PlayStation4,87.0,7.7
Middle-earth: Shadow of Mordor,2014.0,XboxOne,87.0,8.0
Final Fantasy XIV: Stormblood,2017.0,PC,87.0,7.0
Bloodborne: The Old Hunters,2015.0,PlayStation4,87.0,9.3
XCOM 2,2016.0,PlayStation4,87.0,7.3
Injustice 2,2017.0,PlayStation4,87.0,8.2
The Witness,2016.0,PlayStation4,87.0,7.1
DOOM,2016.0,XboxOne,87.0,8.4
Oddworld: Abe's Oddysee - New 'n' Tasty,2015.0,PC,87.0,7.8
Battlefield 1,2016.0,XboxOne,87.0,7.7
Dark Souls III,2016.0,XboxOne,87.0,8.7
Guacamelee!,2013.0,PlayStationVita,87.0,8.3
Steins;Gate,2014.0,PC,87.0,8.8
