Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The LEGO Movie Videogame,PlayStationVita,2014.0,0.05,0.26,0.0,0.09,0.41
Call of Duty: Advanced Warfare,PC,2014.0,0.14,0.23,0.0,0.04,0.41
The Wonderful 101,WiiU,2013.0,0.2,0.1,0.08,0.03,0.41
Borderlands: The Handsome Collection,XboxOne,2015.0,0.24,0.13,0.0,0.04,0.41
FIFA Soccer 13,PC,2012.0,0.02,0.31,0.0,0.07,0.41
Hatsune Miku: Project Diva F 2nd,PlayStationVita,2014.0,0.13,0.06,0.16,0.06,0.4
Dragon Quest X,WiiU,2013.0,0.0,0.0,0.4,0.0,0.4
Rocksmith 2014,XboxOne,2014.0,0.29,0.08,0.0,0.04,0.4
NHL 15,XboxOne,2014.0,0.31,0.06,0.0,0.03,0.4
EA Sports UFC 2,XboxOne,2016.0,0.23,0.14,0.0,0.04,0.4
Wii Sports Club,WiiU,2014.0,0.19,0.14,0.04,0.03,0.4
Sonic Lost World,WiiU,2013.0,0.24,0.12,0.01,0.03,0.4
Just Dance 2014,PlayStation4,2013.0,0.18,0.16,0.0,0.05,0.39
Wipeout 2048,PlayStationVita,2012.0,0.14,0.19,0.0,0.06,0.39
Skylanders Giants,WiiU,2012.0,0.23,0.12,0.0,0.04,0.39
Just Dance 4,WiiU,2012.0,0.22,0.14,0.0,0.03,0.39
Saints Row IV,PlayStation4,2015.0,0.13,0.17,0.03,0.06,0.38
Dragon's Crown,PlayStationVita,2013.0,0.16,0.05,0.12,0.05,0.38
Batman: Arkham City,WiiU,2012.0,0.17,0.18,0.0,0.03,0.38
God Eater 2: Rage Burst,PlayStationVita,2015.0,0.0,0.01,0.37,0.0,0.38
Forza Horizon 3,XboxOne,2016.0,0.15,0.2,0.0,0.03,0.38
Tales of Zestiria,PlayStation4,2015.0,0.16,0.15,0.02,0.06,0.38
Scribblenauts: Unlimited,WiiU,2012.0,0.26,0.09,0.0,0.03,0.38
Just Dance 2015,PlayStation4,2014.0,0.19,0.13,0.0,0.06,0.38
Toukiden: The Age of Demons,PlayStationVita,2013.0,0.05,0.05,0.25,0.03,0.38
ESPN: Sports Connection,WiiU,2012.0,0.21,0.12,0.0,0.04,0.37
Life is Strange,PlayStation4,2016.0,0.14,0.15,0.03,0.06,0.37
Tom Clancy's The Division,PC,2016.0,0.2,0.14,0.0,0.03,0.37
LEGO Dimensions,XboxOne,2015.0,0.21,0.13,0.0,0.03,0.37
Dishonored,PlayStation4,2015.0,0.11,0.18,0.02,0.06,0.37
Sid Meier's Civilization: Beyond Earth,PC,2014.0,0.11,0.22,0.0,0.03,0.37
Skylanders SWAP Force,PlayStation4,2013.0,0.2,0.12,0.0,0.05,0.37
LEGO Batman 2: DC Super Heroes,PlayStationVita,2012.0,0.17,0.13,0.0,0.06,0.37
Rock Band 4,PlayStation4,2015.0,0.25,0.05,0.0,0.07,0.37
Resident Evil Zero,PlayStation4,2016.0,0.09,0.17,0.05,0.05,0.36
Assassin's Creed III,WiiU,2012.0,0.19,0.13,0.0,0.03,0.36
Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,PlayStationVita,2013.0,0.13,0.02,0.16,0.05,0.36
Middle-Earth: Shadow of Mordor,PC,2014.0,0.12,0.2,0.0,0.04,0.36
Call of Duty: Ghosts,WiiU,2013.0,0.23,0.09,0.01,0.03,0.36
Company of Heroes 2,PC,2013.0,0.06,0.25,0.0,0.05,0.36
Dark Souls III,XboxOne,2016.0,0.23,0.09,0.0,0.03,0.35
Star Fox: Zero,WiiU,2016.0,0.16,0.1,0.07,0.03,0.35
Farming Simulator 2015,PlayStation4,2015.0,0.1,0.2,0.0,0.05,0.35
Just Dance 2016,PlayStation4,2015.0,0.16,0.13,0.0,0.06,0.35
Skylanders: Trap Team,XboxOne,2014.0,0.25,0.07,0.0,0.03,0.34
Rayman Legends,XboxOne,2014.0,0.13,0.18,0.0,0.03,0.34
Zoo Tycoon (2013),XboxOne,2013.0,0.18,0.13,0.0,0.03,0.34
Persona 5,PlayStation4,2016.0,0.0,0.0,0.34,0.0,0.34
Modnation Racers: Road Trip,PlayStationVita,2012.0,0.17,0.12,0.0,0.05,0.34
Dead or Alive 5,PlayStation4,2015.0,0.09,0.13,0.08,0.04,0.33
Medal of Honor: Warfighter,PC,2012.0,0.14,0.15,0.0,0.04,0.33
Sonic Boom: Rise of Lyric,WiiU,2014.0,0.21,0.09,0.0,0.03,0.33
Deus Ex: Mankind Divided,PlayStation4,2016.0,0.1,0.18,0.0,0.05,0.33
Sniper Elite 3,XboxOne,2014.0,0.19,0.11,0.0,0.03,0.33
LEGO The Lord of the Rings,PlayStationVita,2012.0,0.1,0.15,0.0,0.07,0.33
Batman: Arkham Origins,WiiU,2013.0,0.2,0.09,0.0,0.03,0.33
God of War Collection,PlayStationVita,2014.0,0.14,0.1,0.01,0.07,0.33
Batman: Arkham Origins,PC,2013.0,0.13,0.16,0.0,0.04,0.32
Madden NFL 13,PlayStationVita,2012.0,0.3,0.0,0.0,0.03,0.32
LEGO Marvel's Avengers,XboxOne,2016.0,0.18,0.11,0.0,0.03,0.32
Murdered: Soul Suspect,PlayStation4,2014.0,0.09,0.16,0.02,0.05,0.32
TrackMania Turbo,PlayStation4,2016.0,0.03,0.24,0.0,0.05,0.32
DiRT Rally,PlayStation4,2016.0,0.03,0.24,0.0,0.05,0.32
Mirror's Edge Catalyst,PlayStation4,2016.0,0.1,0.14,0.02,0.06,0.32
Just Dance 2016,XboxOne,2015.0,0.24,0.04,0.0,0.03,0.32
Dragon Ball: XenoVerse,XboxOne,2015.0,0.18,0.11,0.0,0.03,0.31
Homefront: The Revolution,PlayStation4,2016.0,0.05,0.19,0.03,0.04,0.31
Metro: Last Light,XboxOne,2014.0,0.15,0.13,0.0,0.03,0.31
Football Manager 2016,PC,2015.0,0.0,0.29,0.0,0.02,0.31
Disney Infinity 3.0,XboxOne,2015.0,0.18,0.1,0.0,0.03,0.31
Kingdoms of Amalur: Reckoning,PC,2012.0,0.14,0.13,0.0,0.04,0.31
The Legend of Heroes: Trails of Cold Steel,PlayStationVita,2013.0,0.08,0.05,0.14,0.04,0.31
Skylanders SWAP Force,XboxOne,2013.0,0.22,0.06,0.0,0.02,0.31
NES Remix,WiiU,2014.0,0.2,0.0,0.08,0.02,0.3
DmC: Devil May Cry,PlayStation4,2015.0,0.12,0.13,0.0,0.05,0.3
Dynasty Warriors 8: Xtreme Legends,PlayStation4,2014.0,0.09,0.11,0.06,0.04,0.3
Toukiden Kiwami,PlayStationVita,2014.0,0.05,0.05,0.17,0.03,0.3
Tropico 5,PlayStation4,2015.0,0.05,0.16,0.05,0.04,0.3
Skylanders: SuperChargers,PlayStation4,2015.0,0.17,0.08,0.0,0.05,0.3
FIFA 15,PC,2014.0,0.0,0.27,0.0,0.03,0.3
Sword Art Online: Hollow Fragment,PlayStationVita,2014.0,0.0,0.0,0.3,0.0,0.3
Star Ocean 5: Integrity and Faithlessness,PlayStation4,2016.0,0.06,0.07,0.14,0.02,0.3
Dragon Quest Builders: Revive Alefgard,PlayStationVita,2016.0,0.0,0.0,0.3,0.0,0.3
Soul Sacrifice Delta,PlayStationVita,2014.0,0.01,0.12,0.12,0.04,0.29
Assassin's Creed IV: Black Flag,WiiU,2013.0,0.18,0.09,0.0,0.03,0.29
Ys: Memories of Celceta,PlayStationVita,2012.0,0.15,0.01,0.1,0.04,0.29
Borderlands: The Pre-Sequel,PC,2014.0,0.11,0.15,0.0,0.03,0.29
World of Warcraft: Legion,PC,2016.0,0.14,0.12,0.0,0.02,0.29
Metal Gear Solid V: Ground Zeroes,XboxOne,2014.0,0.15,0.11,0.0,0.02,0.28
One Piece: Burning Blood,PlayStation4,2016.0,0.1,0.08,0.07,0.04,0.28
Pro Evolution Soccer 2017,PlayStation4,2016.0,0.01,0.16,0.09,0.03,0.28
Need for Speed: Most Wanted,WiiU,2013.0,0.14,0.12,0.0,0.02,0.28
Naruto Shippuden: Ultimate Ninja Storm 4,XboxOne,2016.0,0.19,0.06,0.0,0.03,0.28
Sly Cooper: Thieves in Time,PlayStationVita,2013.0,0.16,0.06,0.0,0.05,0.28
Sing Party,WiiU,2012.0,0.13,0.12,0.0,0.02,0.28
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PlayStation4,2016.0,0.0,0.0,0.28,0.0,0.28
UEFA Euro 2016,PlayStation4,2016.0,0.0,0.21,0.03,0.03,0.28
Danganronpa Another Episode: Ultra Despair Girls,PlayStationVita,2014.0,0.1,0.03,0.12,0.04,0.28
Mass Effect 3,WiiU,2012.0,0.14,0.11,0.0,0.02,0.28
Mass Effect Trilogy,PC,2012.0,0.09,0.16,0.0,0.03,0.28
Deadpool,PlayStation4,2015.0,0.13,0.1,0.0,0.05,0.28
Divinity: Original Sin,PlayStation4,2015.0,0.09,0.12,0.02,0.04,0.27
The Evil Within,PC,2014.0,0.09,0.16,0.0,0.02,0.27
Disgaea 5: Alliance of Vengeance,PlayStation4,2015.0,0.1,0.08,0.06,0.04,0.27
Sherlock Holmes: Crimes & Punishments,PlayStation4,2014.0,0.08,0.14,0.0,0.05,0.27
Need for Speed Rivals,PC,2013.0,0.04,0.19,0.0,0.04,0.27
LEGO The Hobbit,XboxOne,2014.0,0.13,0.12,0.0,0.02,0.27
F1 2016 (Codemasters),PlayStation4,2016.0,0.01,0.21,0.01,0.04,0.27
Payday 2,PlayStation4,2015.0,0.09,0.14,0.0,0.04,0.27
Ninja Gaiden Sigma,PlayStationVita,2012.0,0.13,0.06,0.04,0.04,0.27
Rory McIlroy PGA Tour,XboxOne,2015.0,0.15,0.09,0.0,0.02,0.27
Danganronpa 2: Goodbye Despair,PlayStationVita,2014.0,0.13,0.07,0.0,0.06,0.26
J Stars Victory Vs.,PlayStationVita,2014.0,0.0,0.07,0.17,0.02,0.26
Lumines: Electronic Symphony,PlayStationVita,2012.0,0.11,0.1,0.01,0.05,0.26
Muramasa: The Demon Blade,PlayStationVita,2013.0,0.13,0.0,0.1,0.03,0.26
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016.0,0.03,0.11,0.1,0.01,0.26
Tearaway Unfolded,PlayStation4,2015.0,0.09,0.12,0.0,0.04,0.25
J Stars Victory Vs.,PlayStation4,2015.0,0.07,0.14,0.0,0.04,0.25
Final Fantasy Type-0,XboxOne,2015.0,0.15,0.07,0.0,0.02,0.25
Hitman: Absolution,PC,2012.0,0.03,0.17,0.0,0.04,0.25
Anno 2205,PC,2015.0,0.02,0.22,0.0,0.01,0.25
Trials Fusion,XboxOne,2014.0,0.12,0.1,0.0,0.02,0.24
LEGO Ninjago: Shadow of Ronin,PlayStationVita,2015.0,0.03,0.16,0.0,0.05,0.24
Madden NFL 13,WiiU,2012.0,0.22,0.0,0.0,0.02,0.24
Corpse Party: Blood Drive,PlayStationVita,2014.0,0.11,0.03,0.06,0.05,0.24
F1 2015,XboxOne,2015.0,0.08,0.15,0.0,0.02,0.24
Street Fighter X Tekken,PlayStationVita,2012.0,0.14,0.05,0.01,0.04,0.24
Samurai Warriors 4,PlayStation4,2014.0,0.08,0.07,0.06,0.03,0.24
Lego Star Wars: The Force Awakens,XboxOne,2016.0,0.12,0.1,0.0,0.02,0.24
Game & Wario,WiiU,2013.0,0.06,0.06,0.11,0.01,0.24
Onechanbara Z2: Chaos,PlayStation4,2014.0,0.13,0.02,0.04,0.04,0.24
LEGO Harry Potter: Years 5-7,PlayStationVita,2012.0,0.09,0.1,0.0,0.05,0.24
Silent Hill: Book of Memories,PlayStationVita,2012.0,0.13,0.06,0.0,0.04,0.24
The Walking Dead: Season Two,PlayStation4,2014.0,0.1,0.09,0.01,0.04,0.24
Epic Mickey 2: The Power of Two,WiiU,2012.0,0.14,0.07,0.01,0.02,0.24
LEGO Marvel's Avengers,WiiU,2016.0,0.12,0.09,0.0,0.02,0.23
LEGO Marvel's Avengers,PlayStationVita,2016.0,0.07,0.11,0.0,0.05,0.23
Zumba Fitness: World Party,XboxOne,2013.0,0.17,0.05,0.0,0.02,0.23
Total War: Attila,PC,2015.0,0.09,0.13,0.0,0.02,0.23
Hatsune Miku: Project Diva f,PlayStationVita,2012.0,0.0,0.0,0.23,0.0,0.23
Sword Art Online: Lost Song,PlayStation4,2015.0,0.09,0.1,0.0,0.04,0.23
Skylanders: SuperChargers,XboxOne,2015.0,0.16,0.05,0.0,0.02,0.23
LEGO The Hobbit,WiiU,2014.0,0.1,0.11,0.0,0.02,0.23
Project CARS,XboxOne,2015.0,0.08,0.13,0.0,0.02,0.23
Call of Duty: Black Ops 3,PC,2015.0,0.0,0.22,0.0,0.01,0.23
NBA Live 15,PlayStation4,2014.0,0.15,0.04,0.0,0.04,0.23
Risen 2: Dark Waters,PC,2012.0,0.0,0.19,0.0,0.04,0.23
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PlayStationVita,2016.0,0.0,0.0,0.23,0.0,0.23
Rocket League,PlayStation4,2016.0,0.02,0.14,0.0,0.07,0.23
Senran Kagura: Estival Versus,PlayStationVita,2015.0,0.06,0.05,0.09,0.03,0.23
Spec Ops: The Line,PC,2012.0,0.11,0.09,0.0,0.03,0.23
Dark Souls II,XboxOne,2015.0,0.13,0.07,0.0,0.02,0.22
Battleborn,PlayStation4,2016.0,0.09,0.08,0.01,0.04,0.22
LEGO The Lord of the Rings,PC,2012.0,0.07,0.13,0.0,0.03,0.22
Tom Clancy's Rainbow Six: Siege,PC,2015.0,0.12,0.08,0.0,0.02,0.22
Dungeon Hunter Alliance,PlayStationVita,2012.0,0.09,0.1,0.0,0.04,0.22
Dragon Quest Builders: Revive Alefgard,PlayStation4,2016.0,0.0,0.0,0.22,0.0,0.22
Tales of Berseria,PlayStation4,2016.0,0.0,0.0,0.22,0.0,0.22
Transformers: Devastation,PlayStation4,2015.0,0.1,0.08,0.0,0.04,0.22
Shin Megami Tensei x Fire Emblem,WiiU,2015.0,0.1,0.04,0.06,0.01,0.22
Darksiders II,PlayStation4,2015.0,0.09,0.1,0.0,0.04,0.22
NBA Live 14,PlayStation4,2013.0,0.14,0.05,0.0,0.03,0.22
One Piece: Pirate Warriors 3,PlayStationVita,2015.0,0.0,0.07,0.13,0.02,0.22
Ride,PlayStation4,2015.0,0.03,0.13,0.03,0.03,0.22
Lords of the Fallen,XboxOne,2014.0,0.1,0.1,0.0,0.02,0.22
Steins;Gate,PlayStationVita,2013.0,0.07,0.09,0.0,0.05,0.21
Akiba's Trip: Undead & Undressed,PlayStationVita,2013.0,0.09,0.02,0.08,0.03,0.21
The Amazing Spider-Man 2 (2014),XboxOne,2014.0,0.12,0.07,0.0,0.02,0.21
Transformer: Rise of the Dark Spark,PlayStation4,2014.0,0.07,0.1,0.01,0.04,0.21
Disney's Planes,WiiU,2013.0,0.15,0.04,0.0,0.02,0.21
LEGO The Hobbit,PlayStationVita,2014.0,0.03,0.13,0.0,0.05,0.21
Rayman Legends,PlayStationVita,2014.0,0.03,0.12,0.0,0.05,0.21
Defiance,PC,2013.0,0.14,0.04,0.0,0.02,0.21
The Wolf Among Us,PlayStation4,2014.0,0.1,0.07,0.0,0.03,0.21
Attack on Titan (KOEI),PlayStation4,2016.0,0.02,0.06,0.11,0.02,0.2
NBA Live 15,XboxOne,2014.0,0.17,0.02,0.0,0.02,0.2
State of Decay,XboxOne,2015.0,0.14,0.05,0.0,0.02,0.2
Assassin's Creed Syndicate,PC,2015.0,0.1,0.08,0.0,0.02,0.2
XCOM 2,PC,2016.0,0.09,0.1,0.0,0.02,0.2
MLB 12: The Show,PlayStationVita,2012.0,0.18,0.0,0.0,0.02,0.2
NHL 17,PlayStation4,2016.0,0.13,0.04,0.0,0.04,0.2
Angry Birds Star Wars,PlayStation4,2013.0,0.1,0.08,0.0,0.03,0.2
Saints Row IV,XboxOne,2015.0,0.1,0.09,0.0,0.02,0.2
Injustice: Gods Among Us,WiiU,2013.0,0.1,0.08,0.0,0.02,0.2
Tony Hawk's Pro Skater 5,PlayStation4,2015.0,0.09,0.08,0.0,0.03,0.2
Total War: Shogun 2 - Fall of the Samurai,PC,2012.0,0.07,0.1,0.0,0.03,0.2
BioShock The Collection,PlayStation4,2016.0,0.05,0.11,0.01,0.03,0.2
South Park: The Stick of Truth,PC,2014.0,0.07,0.1,0.0,0.02,0.2
Sleeping Dogs,XboxOne,2014.0,0.1,0.09,0.0,0.02,0.2
Resident Evil: Revelations,WiiU,2013.0,0.07,0.08,0.03,0.01,0.2
Demon Gaze,PlayStationVita,2013.0,0.06,0.03,0.08,0.02,0.2
Zombie Army Trilogy,PlayStation4,2015.0,0.04,0.12,0.0,0.03,0.2
Ninja Gaiden 3,WiiU,2012.0,0.15,0.03,0.0,0.02,0.19
Metro: Last Light,PC,2013.0,0.06,0.11,0.0,0.02,0.19
Bound By Flame,PlayStation4,2014.0,0.07,0.08,0.0,0.04,0.19
The Sims 4: Get Together,PC,2015.0,0.05,0.13,0.0,0.01,0.19
Conception II: Children of the Seven Stars,PlayStationVita,2013.0,0.13,0.0,0.04,0.02,0.19
NBA Live 14,XboxOne,2013.0,0.16,0.02,0.0,0.01,0.19
Tom Clancy's Splinter Cell: Blacklist,PC,2013.0,0.04,0.13,0.0,0.03,0.19
Farming Simulator 2015,XboxOne,2015.0,0.1,0.07,0.0,0.02,0.19
Kan Colle Kai,PlayStationVita,2016.0,0.0,0.0,0.19,0.0,0.19
Hyperdevotion Noire: Goddess Black Heart,PlayStationVita,2014.0,0.08,0.02,0.06,0.03,0.19
Saints Row IV,PC,2013.0,0.11,0.06,0.0,0.02,0.19
Fighter Within,XboxOne,2013.0,0.11,0.07,0.0,0.02,0.19
Valhalla Knights 3,PlayStationVita,2013.0,0.04,0.01,0.12,0.01,0.19
The Heavy Rain and Beyond: Two Souls Collection,PlayStation4,2016.0,0.0,0.16,0.0,0.03,0.19
God Eater Resurrection,PlayStationVita,2015.0,0.0,0.0,0.19,0.0,0.19
3rd Super Robot Wars Z Jigoku Hen,PlayStationVita,2014.0,0.0,0.0,0.19,0.0,0.19
Taiko no Tatsujin: Wii U Version!,WiiU,2013.0,0.0,0.0,0.19,0.0,0.19
Singstar: Ultimate Party,PlayStation4,2014.0,0.0,0.16,0.0,0.03,0.19
3rd Super Robot Wars Z: Tengoku-Hen,PlayStationVita,2015.0,0.0,0.0,0.19,0.0,0.19
Dance Central: Spotlight,XboxOne,2014.0,0.15,0.03,0.0,0.0,0.19
Tekken Tag Tournament 2,WiiU,2012.0,0.09,0.07,0.01,0.01,0.19
Phantasy Star Nova,PlayStationVita,2014.0,0.0,0.0,0.19,0.0,0.19
MotoGP 14,PlayStation4,2014.0,0.04,0.11,0.0,0.04,0.18
The Walking Dead: Season One,PlayStationVita,2013.0,0.14,0.0,0.01,0.03,0.18
Dynasty Warriors 8: Empires,PlayStation4,2014.0,0.06,0.07,0.03,0.02,0.18
Evolve,PC,2015.0,0.07,0.1,0.0,0.01,0.18
Shape Up,XboxOne,2014.0,0.08,0.09,0.0,0.01,0.18
Dungeon Travelers 2: The Royal Library & The Monster Seal,PlayStationVita,2014.0,0.07,0.03,0.05,0.03,0.18
Dying Light,PC,2015.0,0.11,0.06,0.0,0.02,0.18
Dengeki Bunko Fighting Climax,PlayStationVita,2014.0,0.08,0.0,0.07,0.03,0.18
Odin Sphere: Leifthrasir,PlayStation4,2016.0,0.06,0.03,0.07,0.02,0.18
LEGO Marvel Super Heroes,PC,2013.0,0.04,0.12,0.0,0.02,0.18
Hyperdimension Neptunia,PlayStationVita,2013.0,0.09,0.0,0.07,0.02,0.18
Guitar Hero Live,WiiU,2015.0,0.12,0.04,0.0,0.02,0.18
Aliens: Colonial Marines,PC,2013.0,0.1,0.06,0.0,0.02,0.18
Dark Souls II,PC,2014.0,0.08,0.08,0.0,0.02,0.18
Tom Clancy's Ghost Recon: Future Soldier,PC,2012.0,0.05,0.1,0.0,0.03,0.18
FIFA 16,PC,2015.0,0.04,0.13,0.0,0.01,0.18
Doom (2016),PC,2016.0,0.06,0.1,0.0,0.01,0.18
Godzilla (2015),PlayStation4,2014.0,0.1,0.03,0.02,0.03,0.18
Disgaea 4: A Promise Unforgotten,PlayStationVita,2014.0,0.04,0.04,0.08,0.02,0.18
Jikkyou Powerful Pro Baseball 2016,PlayStationVita,2016.0,0.0,0.0,0.17,0.0,0.17
Hyperdimension Neptunia U: Action Unleashed,PlayStationVita,2014.0,0.07,0.02,0.06,0.03,0.17
Back to the Future: The Game,PlayStation4,2015.0,0.1,0.04,0.0,0.03,0.17
Project Spark,XboxOne,2014.0,0.11,0.05,0.0,0.02,0.17
Yakuza Zero: The Place of Oath,PlayStation4,2015.0,0.0,0.0,0.17,0.0,0.17
The Secret World,PC,2012.0,0.07,0.08,0.0,0.02,0.17
One Piece: Unlimited World Red,PlayStationVita,2014.0,0.06,0.04,0.04,0.03,0.17
NBA Live 16,PlayStation4,2015.0,0.1,0.04,0.0,0.03,0.17
MotoGP 15,PlayStation4,2015.0,0.0,0.12,0.03,0.02,0.17
Digimon Story: Cyber Sleuth,PlayStationVita,2015.0,0.0,0.0,0.17,0.0,0.17
Jikkyou Powerful Pro Baseball 2016,PlayStation4,2016.0,0.0,0.0,0.17,0.0,0.17
Valkyria Chronicles,PlayStation4,2016.0,0.06,0.04,0.05,0.02,0.17
Toukiden Kiwami,PlayStation4,2015.0,0.05,0.07,0.02,0.02,0.17
Payday 2,XboxOne,2015.0,0.08,0.07,0.0,0.01,0.17
Wildstar,PC,2014.0,0.08,0.07,0.0,0.02,0.17
Senran Kagura: Estival Versus,PlayStation4,2015.0,0.07,0.0,0.08,0.02,0.17
The Sims 3: Seasons,PC,2012.0,0.0,0.13,0.0,0.03,0.17
Mobile Suit Gundam: Extreme VS Force,PlayStationVita,2015.0,0.0,0.0,0.16,0.0,0.16
Phantasy Star Online 2,PlayStationVita,2013.0,0.0,0.0,0.16,0.0,0.16
Bladestorm: Nightmare,PlayStation4,2015.0,0.07,0.04,0.03,0.02,0.16
Murdered: Soul Suspect,XboxOne,2014.0,0.08,0.07,0.0,0.01,0.16
The Crew,PC,2014.0,0.0,0.15,0.0,0.01,0.16
LEGO Legends of Chima: Laval's Journey,PlayStationVita,2013.0,0.02,0.09,0.0,0.04,0.16
Darksiders II,WiiU,2012.0,0.07,0.07,0.0,0.01,0.16
Yakuza Kiwami,PlayStation4,2016.0,0.0,0.0,0.16,0.0,0.16
Angry Birds Star Wars,XboxOne,2013.0,0.11,0.04,0.0,0.01,0.16
Guilty Gear Xrd: Sign,PlayStation4,2014.0,0.1,0.0,0.04,0.02,0.16
The Walking Dead: Season One,XboxOne,2014.0,0.08,0.06,0.0,0.01,0.16
Darksiders II,PC,2012.0,0.03,0.1,0.0,0.03,0.16
Putty Squad,PlayStation4,2013.0,0.06,0.07,0.0,0.02,0.16
Deponia,PC,2012.0,0.0,0.13,0.0,0.03,0.15
NHL 17,XboxOne,2016.0,0.13,0.01,0.0,0.02,0.15
Wolfenstein: The Old Blood,XboxOne,2015.0,0.07,0.07,0.0,0.01,0.15
Gundam Breaker 2,PlayStationVita,2014.0,0.0,0.0,0.15,0.0,0.15
Mind Zero,PlayStationVita,2013.0,0.08,0.0,0.04,0.02,0.15
Saint Seiya: Soldiers' Soul,PlayStation4,2015.0,0.0,0.09,0.04,0.02,0.15
Fantasia: Music Evolved,XboxOne,2014.0,0.11,0.03,0.0,0.01,0.15
The Legend of Heroes: Trails of Cold Steel II,PlayStationVita,2014.0,0.02,0.0,0.13,0.01,0.15
Oreshika: Tainted Bloodlines,PlayStationVita,2014.0,0.0,0.0,0.15,0.0,0.15
Mirror's Edge Catalyst,XboxOne,2016.0,0.08,0.05,0.0,0.02,0.15
Tokyo Xanadu,PlayStationVita,2015.0,0.0,0.0,0.15,0.0,0.15
Odin Sphere: Leifthrasir,PlayStationVita,2016.0,0.02,0.03,0.08,0.02,0.15
Warriors Orochi 3,PlayStation4,2014.0,0.04,0.05,0.04,0.02,0.15
The Walking Dead: Season Two,PlayStationVita,2014.0,0.1,0.0,0.01,0.03,0.15
F1 2012,PC,2012.0,0.01,0.11,0.0,0.03,0.15
Yakuza: Ishin,PlayStation4,2014.0,0.0,0.0,0.15,0.0,0.15
Code:Realize - Sousei no Himegimi,PlayStationVita,2014.0,0.09,0.0,0.03,0.03,0.15
Deus Ex: Mankind Divided,XboxOne,2016.0,0.08,0.06,0.0,0.01,0.15
Alien: Isolation,PC,2014.0,0.0,0.13,0.0,0.01,0.15
Dynasty Warriors 8: Xtreme Legends,PlayStationVita,2013.0,0.04,0.03,0.05,0.02,0.15
Deception IV: Blood Ties,PlayStationVita,2014.0,0.03,0.03,0.07,0.02,0.14
Lost Dimension,PlayStationVita,2014.0,0.07,0.03,0.02,0.03,0.14
Dishonored,XboxOne,2015.0,0.08,0.05,0.0,0.01,0.14
Disney Infinity 2.0: Marvel Super Heroes,PlayStationVita,2015.0,0.0,0.11,0.0,0.03,0.14
Watch Dogs,WiiU,2014.0,0.08,0.05,0.0,0.01,0.14
Just Cause 3,PC,2015.0,0.03,0.11,0.0,0.01,0.14
Your Shape: Fitness Evolved 2013,WiiU,2012.0,0.06,0.07,0.0,0.01,0.14
Injustice: Gods Among Us,PlayStationVita,2013.0,0.11,0.01,0.0,0.02,0.14
The Walking Dead: Season Two,XboxOne,2014.0,0.08,0.05,0.0,0.01,0.14
The Darkness II,PC,2012.0,0.1,0.03,0.0,0.01,0.14
Transformers: Prime,WiiU,2012.0,0.09,0.03,0.0,0.01,0.14
Reality Fighters,PlayStationVita,2012.0,0.06,0.06,0.0,0.03,0.14
NBA 2K13,WiiU,2012.0,0.08,0.04,0.0,0.01,0.14
Cities: Skylines,PC,2015.0,0.0,0.13,0.0,0.01,0.14
Far Cry: Primal,PC,2016.0,0.04,0.09,0.0,0.01,0.14
BlazBlue: Chrono Phantasma Extend,PlayStation4,2015.0,0.07,0.03,0.02,0.02,0.14
Football Manager 2014,PlayStationVita,2013.0,0.0,0.1,0.0,0.04,0.14
MLB 14: The Show,PlayStationVita,2014.0,0.11,0.0,0.0,0.02,0.14
Battlefield: Hardline,PC,2015.0,0.0,0.13,0.0,0.01,0.14
Game Party: Champions,WiiU,2012.0,0.09,0.03,0.0,0.01,0.14
Pro Evolution Soccer 2015,XboxOne,2014.0,0.02,0.1,0.0,0.01,0.14
Hyperdimension Idol Neptunia PP,PlayStationVita,2013.0,0.04,0.03,0.04,0.02,0.13
Transformers: Devastation,XboxOne,2015.0,0.09,0.03,0.0,0.01,0.13
Euro Truck Simulator 2,PC,2012.0,0.0,0.12,0.0,0.02,0.13
DmC: Devil May Cry,XboxOne,2015.0,0.08,0.04,0.0,0.01,0.13
WipeOut 3 The Game,WiiU,2012.0,0.12,0.0,0.0,0.01,0.13
James Bond 007: Legends,WiiU,2012.0,0.07,0.05,0.0,0.01,0.13
Pro Baseball Spirits 2015,PlayStationVita,2015.0,0.0,0.0,0.13,0.0,0.13
Resident Evil: Revelations 2,PlayStationVita,2015.0,0.01,0.05,0.06,0.01,0.13
Attack on Titan (KOEI),PlayStationVita,2016.0,0.0,0.0,0.13,0.0,0.13
Hasbro Family Fun Pack,XboxOne,2015.0,0.1,0.02,0.0,0.01,0.13
MLB 13: The Show,PlayStationVita,2013.0,0.11,0.0,0.0,0.02,0.13
Brothers: A Tale of Two Sons,PlayStation4,2015.0,0.03,0.08,0.0,0.02,0.13
Batman: Arkham Knight,PC,2015.0,0.08,0.03,0.0,0.01,0.13
Gravity Rush Remastered,PlayStation4,2015.0,0.02,0.05,0.04,0.01,0.13
LEGO Batman 2: DC Super Heroes,WiiU,2013.0,0.05,0.07,0.0,0.01,0.13
