Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Need for Speed Rivals,PlayStation4,2013.0,0.73,0.91,0.03,0.22,1.89
LittleBigPlanet 3,PlayStation4,2014.0,0.64,0.92,0.01,0.29,1.86
World of Warcraft: Mists of Pandaria,PC,2012.0,0.84,0.76,0.0,0.23,1.83
Just Cause 3,PlayStation4,2015.0,0.46,1.02,0.07,0.28,1.83
The Evil Within,PlayStation4,2014.0,0.55,0.84,0.11,0.31,1.81
The Legend of Zelda: The Wind Waker,WiiU,2013.0,0.93,0.57,0.14,0.13,1.77
Wii Party U,WiiU,2013.0,0.31,0.54,0.84,0.08,1.77
Forza Motorsport 6,XboxOne,2015.0,0.69,0.89,0.03,0.14,1.74
Diablo III,PlayStation4,2014.0,0.49,0.88,0.06,0.3,1.74
Overwatch,PlayStation4,2016.0,0.64,0.68,0.14,0.26,1.73
The Order: 1886,PlayStation4,2015.0,0.61,0.78,0.06,0.27,1.72
The Elder Scrolls Online,PlayStation4,2015.0,0.66,0.78,0.0,0.28,1.72
The Crew,PlayStation4,2014.0,0.34,1.08,0.03,0.26,1.7
NBA 2K15,XboxOne,2014.0,1.36,0.18,0.0,0.15,1.69
Call of Duty Black Ops: Declassified,PlayStationVita,2012.0,0.8,0.52,0.07,0.3,1.69
Knack,PlayStation4,2013.0,0.43,0.67,0.42,0.15,1.67
StarCraft II: Heart of the Swarm,PC,2013.0,0.82,0.65,0.0,0.19,1.67
Dying Light,PlayStation4,2015.0,0.63,0.66,0.11,0.26,1.66
Until Dawn,PlayStation4,2015.0,0.44,0.89,0.05,0.25,1.64
Far Cry 4,XboxOne,2014.0,0.79,0.68,0.01,0.13,1.61
No Man's Sky,PlayStation4,2016.0,0.58,0.74,0.02,0.26,1.6
Wolfenstein: The New Order,PlayStation4,2014.0,0.47,0.8,0.03,0.29,1.58
Dark Souls III,PlayStation4,2016.0,0.58,0.44,0.33,0.21,1.56
LEGO Marvel Super Heroes,PlayStation4,2013.0,0.59,0.75,0.01,0.21,1.56
Watch Dogs,XboxOne,2014.0,0.9,0.53,0.0,0.13,1.55
Mario Party 10,WiiU,2015.0,0.69,0.5,0.24,0.11,1.55
Dead Rising 3,XboxOne,2013.0,1.06,0.35,0.01,0.12,1.54
Call of Duty: Black Ops II,PC,2012.0,0.63,0.69,0.0,0.21,1.53
FIFA 17,XboxOne,2016.0,0.17,1.26,0.0,0.1,1.53
Donkey Kong Country: Tropical Freeze,WiiU,2014.0,0.73,0.52,0.15,0.12,1.52
Madden NFL 15,XboxOne,2014.0,1.3,0.09,0.0,0.12,1.51
Assassin's Creed III: Liberation,PlayStationVita,2012.0,0.58,0.55,0.06,0.28,1.47
LittleBigPlanet PS Vita,PlayStationVita,2012.0,0.4,0.72,0.02,0.33,1.47
Batman: Arkham Knight,XboxOne,2015.0,0.86,0.46,0.0,0.13,1.45
SimCity (2013),PC,2013.0,0.48,0.77,0.0,0.19,1.44
Tomb Raider (2013),PlayStation4,2014.0,0.47,0.64,0.06,0.25,1.41
Battlefield 4,PC,2013.0,0.38,0.86,0.0,0.16,1.4
Doom (2016),PlayStation4,2016.0,0.49,0.66,0.02,0.22,1.39
Persona 4: Golden,PlayStationVita,2012.0,0.46,0.34,0.38,0.21,1.38
Forza Horizon 2,XboxOne,2014.0,0.5,0.78,0.01,0.09,1.37
Ryse: Son of Rome,XboxOne,2013.0,0.82,0.42,0.0,0.11,1.36
Mortal Kombat X,XboxOne,2015.0,1.0,0.21,0.0,0.13,1.35
NBA 2K14,PlayStation4,2013.0,0.89,0.31,0.01,0.12,1.33
Middle-Earth: Shadow of Mordor,XboxOne,2014.0,0.72,0.5,0.01,0.1,1.32
Rise of the Tomb Raider,XboxOne,2015.0,0.53,0.64,0.02,0.1,1.3
Yoshi's Woolly World,WiiU,2015.0,0.61,0.47,0.11,0.1,1.29
Tom Clancy's Rainbow Six: Siege,XboxOne,2015.0,0.73,0.44,0.0,0.12,1.29
Metal Gear Solid V: Ground Zeroes,PlayStation4,2014.0,0.45,0.46,0.17,0.2,1.28
Assassin's Creed Syndicate,XboxOne,2015.0,0.61,0.56,0.0,0.11,1.28
The Elder Scrolls Online,XboxOne,2015.0,0.77,0.38,0.0,0.12,1.27
Hyrule Warriors,WiiU,2014.0,0.61,0.42,0.13,0.1,1.26
The Witcher 3: Wild Hunt,XboxOne,2015.0,0.66,0.47,0.0,0.11,1.24
Farming Simulator 2015,PC,2014.0,0.08,1.02,0.0,0.13,1.23
Madden NFL 17,PlayStation4,2016.0,0.92,0.08,0.0,0.23,1.23
Fallout 4,PC,2015.0,0.5,0.63,0.0,0.1,1.23
Battlefield: Hardline,XboxOne,2015.0,0.72,0.37,0.01,0.11,1.2
WWE 2K16,PlayStation4,2015.0,0.41,0.6,0.0,0.19,1.2
Captain Toad: Treasure Tracker,WiiU,2014.0,0.56,0.36,0.19,0.09,1.19
FIFA 14,XboxOne,2013.0,0.41,0.66,0.0,0.12,1.19
NBA 2K17,PlayStation4,2016.0,0.83,0.14,0.0,0.22,1.19
Ratchet & Clank (2016),PlayStation4,2016.0,0.32,0.64,0.04,0.18,1.17
Football Manager 2013,PC,2012.0,0.0,0.95,0.0,0.22,1.17
Destiny: The Taken King,XboxOne,2015.0,0.82,0.23,0.0,0.11,1.17
Need for Speed: Most Wanted,PlayStationVita,2012.0,0.38,0.52,0.01,0.25,1.16
WWE 2K15,PlayStation4,2014.0,0.38,0.56,0.0,0.19,1.13
Alien: Isolation,PlayStation4,2014.0,0.34,0.56,0.04,0.19,1.13
Mad Max (2015),PlayStation4,2015.0,0.32,0.58,0.04,0.17,1.11
Sunset Overdrive,XboxOne,2014.0,0.62,0.4,0.0,0.08,1.11
Pikmin 3,WiiU,2013.0,0.45,0.31,0.29,0.06,1.11
Grand Theft Auto V,PC,2015.0,0.36,0.64,0.0,0.08,1.08
LEGO City Undercover,WiiU,2013.0,0.47,0.4,0.13,0.08,1.08
Naruto Shippuden: Ultimate Ninja Storm 4,PlayStation4,2016.0,0.39,0.41,0.1,0.16,1.06
Dragon Ball: XenoVerse,PlayStation4,2015.0,0.3,0.48,0.12,0.15,1.05
Project CARS,PlayStation4,2015.0,0.17,0.69,0.02,0.15,1.04
LEGO Marvel Super Heroes,XboxOne,2013.0,0.61,0.34,0.0,0.09,1.04
EA Sports UFC,PlayStation4,2014.0,0.46,0.4,0.01,0.17,1.04
ZombiU,WiiU,2012.0,0.53,0.36,0.05,0.08,1.02
Bayonetta 2,WiiU,2014.0,0.34,0.28,0.1,0.3,1.01
Rayman Legends,PlayStation4,2014.0,0.21,0.61,0.0,0.18,1.01
Killzone: Mercenary,PlayStationVita,2013.0,0.25,0.49,0.04,0.22,1.0
Farming Simulator 2013,PC,2012.0,0.0,0.8,0.0,0.18,0.99
Far Cry 3,PC,2012.0,0.21,0.62,0.0,0.14,0.98
Final Fantasy Type-0,PlayStation4,2015.0,0.37,0.32,0.15,0.14,0.97
Mass Effect 3,PC,2012.0,0.4,0.44,0.0,0.13,0.97
Final Fantasy X / X-2 HD Remaster,PlayStationVita,2013.0,0.21,0.31,0.28,0.16,0.97
Evolve,PlayStation4,2015.0,0.35,0.41,0.05,0.15,0.95
Assassin's Creed III,PC,2012.0,0.28,0.53,0.0,0.13,0.94
The Legend of Zelda: Twilight Princess HD,WiiU,2016.0,0.48,0.3,0.08,0.08,0.94
Borderlands 2,PC,2012.0,0.42,0.41,0.0,0.11,0.93
Pokken Tournament,WiiU,2016.0,0.47,0.22,0.16,0.07,0.93
Lego Batman 3: Beyond Gotham,PlayStation4,2014.0,0.37,0.39,0.0,0.15,0.92
MLB 15: The Show,PlayStation4,2015.0,0.67,0.08,0.0,0.17,0.92
Dragon Age: Inquisition,XboxOne,2014.0,0.55,0.28,0.0,0.07,0.91
The Elder Scrolls Online,PC,2014.0,0.32,0.48,0.0,0.09,0.9
LEGO Jurassic World,PlayStation4,2015.0,0.32,0.42,0.01,0.14,0.89
EA Sports UFC 2,PlayStation4,2016.0,0.28,0.47,0.0,0.14,0.89
Wii Fit U,WiiU,2013.0,0.39,0.24,0.21,0.06,0.89
Just Cause 3,XboxOne,2015.0,0.42,0.38,0.0,0.07,0.88
NBA 2K14,XboxOne,2013.0,0.7,0.11,0.0,0.06,0.87
Injustice: Gods Among Us,PlayStation4,2013.0,0.46,0.29,0.0,0.12,0.87
Far Cry: Primal,XboxOne,2016.0,0.46,0.32,0.0,0.07,0.85
Overwatch,XboxOne,2016.0,0.52,0.25,0.0,0.08,0.85
Thief (2014),PlayStation4,2014.0,0.28,0.37,0.03,0.16,0.84
MLB 16: The Show,PlayStation4,2016.0,0.68,0.0,0.0,0.16,0.84
Xenoblade Chronicles X,WiiU,2015.0,0.36,0.28,0.14,0.06,0.84
Borderlands: The Handsome Collection,PlayStation4,2015.0,0.36,0.32,0.03,0.14,0.84
FIFA 15,PlayStationVita,2014.0,0.13,0.48,0.04,0.19,0.84
Borderlands 2,PlayStationVita,2014.0,0.43,0.21,0.01,0.19,0.83
Madden NFL 17,XboxOne,2016.0,0.72,0.02,0.0,0.09,0.82
Street Fighter V,PlayStation4,2016.0,0.35,0.26,0.08,0.13,0.82
Madden NFL 25,PlayStation4,2013.0,0.62,0.13,0.0,0.07,0.82
Guitar Hero Live,PlayStation4,2015.0,0.32,0.35,0.0,0.13,0.81
Dying Light,XboxOne,2015.0,0.43,0.3,0.01,0.07,0.81
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013.0,0.39,0.22,0.13,0.06,0.8
Pro Evolution Soccer 2016,PlayStation4,2015.0,0.13,0.42,0.13,0.1,0.78
Madden NFL 25,XboxOne,2013.0,0.67,0.05,0.0,0.05,0.77
Freedom Wars,PlayStationVita,2014.0,0.22,0.14,0.32,0.1,0.77
Mortal Kombat,PlayStationVita,2012.0,0.47,0.18,0.0,0.12,0.76
Pro Evolution Soccer 2015,PlayStation4,2014.0,0.09,0.43,0.11,0.13,0.76
